3
50
25
[[49, 62, 43, 19, 0, 89, 87, -65, 96, 0, 28, 22, 33, 75, 2, 77, 29, 93, 58, 15, 14, 69, 100, 45, -72, 54, 72, 59, 5, 21, 54, -42, -64, 57, -37, 54, 76, 78, 26, 71, 68, 11, 1, 43, 4, 15, 64, 43, 25, -5],
[-28, 66, 71, 23, -34, -49, 19, 73, 34, 27, 81, 98, 16, 45, 39, 31, 89, -41, 41, -43, 78, 40, -28, 18, 28, 45, 89, 54, 82, -53, 39, 33, 76, -13, 77, 23, 54, 52, 77, 32, 17, 14, 19, 11, 67, 23, 38, 34, 49, 30],
[67, 80, 17, 47, -98, 99, 56, 25, 81, 78, 96, 54, 56, -54, 10, 30, 30, 98, 41, 41, 23, 63, -49, -45, 25, 81, 33, 54, -77, -6, 77, 11, 35, 53, 54, -80, 33, -43, -28, 17, -54, -83, 33, 69, 71, 91, 89, 54, 11, 100]]
[[100, 58, 97, -19, 88, 27, 66, -39, 38, 76, 29, 20, 83, 16, 59, 0, -42, 65, 92, 6, 0, 70, 93, 51, 68, 47, 56, 27, 14, -59, 80, -56, 59, 50, 32, 0, 48, 58, 60, 41, 0, 29, 3, 34, 61, 38, -24, 0, -79, -41],
[43, 68, 41, 88, 93, 70, -60, 66, 84, 72, 47, -55, 26, 45, 7, -19, 1, 80, 83, 71, 49, 82, 39, 32, 47, -34, 12, 0, 0, 59, 67, 69, 15, 97, 9, 62, 55, -81, 99, 83, 81, 33, 23, 60, 83, 0, -52, 70, 99, 94],
[73, 26, 64, 63, 4, 92, 75, 33, 69, 38, 9, 100, 9, 91, 90, 93, 37, 0, 100, 52, 68, 53, 72, 85, 45, 6, 85, 95, 54, 68, 80, 93, 87, 0, 87, 83, 44, 1, 51, 81, 0, 56, 18, 70, 0, 0, 2, 23, 35, 0],
[27, 8, -63, 46, 0, 42, 34, 86, 78, -27, 0, 86, 3, 22, 70, 41, 78, 48, 70, 41, 0, -4, 67, 80, 87, 62, 76, 46, 0, 33, 69, -11, -6, 76, 52, 26, 61, 90, 0, 20, 46, -47, -35, 49, 0, 92, 75, 45, 69, 30],
[82, 7, 50, 64, 27, 64, 89, 0, 54, 27, 88, 0, -39, 53, 47, 55, 73, 81, 10, 12, 98, 56, 11, 78, 97, 16, 12, 69, 13, 99, 12, 51, 89, 63, 61, 72, 14, 19, 71, 13, 22, 29, 63, 7, 17, -66, 57, 13, 17, 44],
[15, 63, 55, 12, 99, 73, 8, -12, -89, 21, 0, 50, 85, 19, -63, 79, 77, 0, 19, 37, 20, 10, 61, 0, 50, 0, -88, 25, 0, 98, 52, 0, 89, 76, 55, 26, 59, 4, 96, 0, 57, 69, -51, 19, 2, 80, 26, 15, 20, 99],
[89, 0, 0, 82, 27, 36, 35, 66, 14, 59, -57, 83, 15, 0, 38, 51, 27, 25, 18, 28, 99, -24, 40, 61, 55, -62, 48, 41, 42, 49, 86, 16, 0, 41, 15, 0, 55, 0, 31, -69, 68, 0, 71, 85, 0, 26, -83, 56, 65, 13],
