3
80
40
[[-20, 72, 69, 15, 3, 47, -28, 35, 82, -100, 14, 86, 10, -4, 76, 21, 27, -83, -46, 37, 60, -53, 22, -65, 71, 66, -40, 61, 43, 97, 18, 76, 10, -59, 26, 24, -37, 19, -46, 91, 90, 10, 7, 21, 28, 70, 35, 91, 40, 10, 11, 53, 5, 60, 26, 86, 6, -35, 67, -36, -97, 41, 82, 84, 64, -13, 28, 49, 13, 95, 59, 55, 76, 79, 6, 37, 79, 49, 9, 81],
[28, 48, 9, -10, 5, -39, 65, 29, 38, 84, 52, 55, 100, 90, 38, 82, 39, 22, 26, 72, 99, 95, 51, 4, -68, -68, -92, -86, 93, 17, 76, -4, 28, 64, 33, 86, 69, -4, 4, 7, 89, 20, -72, 6, 38, 52, 22, 29, 68, -95, 28, -67, -30, 16, 30, 11, 65, 17, -34, 14, 46, 18, 14, 19, -61, 83, 15, 65, -55, -40, 6, 95, 4, 64, 35, 75, -56, -51, 40, 40],
[-8, 48, 39, 93, -6, 60, 26, 72, 66, 0, 14, 82, 69, 17, 100, 90, -19, 99, 51, -96, 45, 46, 19, 2, -47, 87, 79, 27, 100, 56, -98, 90, -18, -96, 80, 79, 74, 97, -59, -23, -99, 63, 32, -74, 34, -71, 28, 20, 7, 45, -67, 11, 48, 100, -95, 85, 41, 87, 37, 5, 96, 8, 55, 35, 54, -52, -96, 96, 67, -59, 72, 79, 74, 87, 78, -18, 27, -3, -81, 43]]
[[87, -62, 49, 31, 49, 10, 62, 63, 66, 78, 84, 14, 4, 0, 85, 31, 0, 39, 51, 92, 69, 70, 16, 8, 20, 53, 61, 92, 92, 91, 80, 97, 42, 38, 23, 74, 69, 69, 75, 62, 50, 0, 10, 83, 42, 74, -44, 4, 89, 85, 62, 0, 53, 98, 67, 99, 67, 42, 58, 39, 32, 0, 0, 73, 43, 0, 82, -71, 17, 97, 82, 0, 54, 0, 20, 34, 21, 16, 57, 77],
[-64, 24, 19, 16, 45, -42, 83, 9, 92, -45, 35, 76, 49, 15, 14, -16, 47, -64, 36, 27, 53, 23, 61, 71, 32, 8, 59, 25, -80, 87, 48, 85, 80, 59, 0, 86, 26, 17, 31, 31, 80, 91, 16, 70, 96, -91, 56, 15, 60, 9, 10, 68, 65, 96, 33, 79, 0, 70, 99, 27, 40, 31, 90, 0, 40, 20, 44, 42, 0, 6, 59, -72, 79, 68, 99, 92, 88, 60, 0, 49],
[89, 3, 43, 78, 95, 50, 85, 38, 20, -89, 0, 3, 61, 3, 34, 8, 0, 7, 0, 49, 54, -56, 52, 22, 36, 50, 96, 14, 11, 33, 0, 66, 60, 4, 3, 14, 32, 0, 69, 95, 97, 75, 72, 15, 69, 59, -62, 0, 2, 50, -65, 84, 5, 0, 3, 32, 73, 28, 74, 17, 84, 14, 86, 52, 54, 3, 58, 42, -41, 72, 40, -42, 0, 86, 5, 75, 68, 7, -55, 61],
[0, 1, 40, 11, 14, 18, 7, 34, 0, 19, 57, -48, 71, 0, 80, 13, 55, 22, 94, 10, -94, 72, 99, 46, 98, 51, 53, 27, -76, 57, -5, 44, 94, 6, 26, 0, 33, 63, 37, 2, 38, 19, 0, 72, 53, 77, -1, 80, 22, 7, 60, 42, 65, 12, 16, 24, 90, 2, -28, 41, 69, 0, 68, 15, 0, 0, 17, 47, 79, 14, 9, 74, 59, 51, 60, 53, 93, 2, -88, 98],
[8, 0, 45, 46, 57, 81, 95, 26, 13, 33, 29, 5, 63, -71, 75, 3, 35, 0, 80, 96, -67, 84, 50, 24, -50, 35, 29, 0, 49, 33, 58, -94, 62, 76, 0, 53, -78, 63, -17, 0, 8, 0, 7, 17, 68, 84, 76, 8, 70, 44, 0, 56, 95, 54, 26, 63, 4, 52, 77, 15, 0, 59, 18, 59, 17, 92, 38, 16, 28, 22, -96, 70, 85, 93, 16, 97, 61, 23, 89, 4],
[-5, 46, 81, 0, 60, 64, 16, 6, 73, 82, 92, 16, 33, 31, 19, 25, 30, 72, 71, 16, 20, 95, 12, -65, 99, 0, 91, 88, 28, 74, 44, -28, 38, 41, 34, 11, 46, 59, 2, 18, 58, 59, 30, 91, 71, 5, 0, 78, 8, 25, -27, 15, 96, -4, 6, 95, 14, 50, 59, 52, 0, 15, 0, 86, 65, 38, 97, 0, 11, 35, 0, 12, 0, -95, 0, 0, 61, 93, 29, -78],
[4, 26, 21, 57, 0, 96, 24, 42, 41, 72, 73, 82, 64, 90, 82, 0, 10, 0, 35, 84, 41, -30, 28, 65, 64, -69, 53, -78, 38, 8, 79, 41, 0, 57, 32, 60, 81, 100, 0, 94, 58, 87, 94, 94, 0, 32, -21, 82, 100, 66, 72, 96, 26, 91, 93, 20, 36, 61, 71, 20, 73, 90, 10, 21, -34, 65, 84, 69, -64, 35, 38, 4, 32, 99, -37, 0, 36, 78, 79, 9],
[0, 52, 78, 0, 87, 81, 79, 0, 82, 7, 91, -92, -4, 77, 33, 23, 42, 35, 92, 0, -88, 56, 21, 13, 17, -98, 94, 0, 2, -85, 81, 33, -12, 42, 69, 37, 46, 30, 56, 52, 81, 54, 50, 13, 72, 30, 76, 56, 38, 89, -71, 80, 60, -86, 0, 67, 54, 22, 72, 8, 57, 53, -89, 0, 76, 61, 58, 89, 65, 48, 64, 46, 75, 52, 38, 78, 94, 0, 0, -76],
[1, 26, 37, 0, 75, 1, 58, 43, -5, 0, 48, 8, 65, 79, 81, 3, -55, -14, 67, 86, 0, 65, 20, 85, 26, 80, 28, 3, 0, 70, 10, 71, 0, 16, 0, 88, 68, 1, 38, 86, 6, 86, 29, 14, 84, 27, 16, 3, 49, 2, 5, 44, 62, 39, 66, 61, 74, 57, -74, 97, 0, 23, 11, 66, 8, 98, 31, 14, -53, 42, 24, 8, 40, 51, 81, 38, 16, 54, 19, 0],
