4
30
15
[[-52, 83, 54, 48, 62, -40, 84, 17, 83, 17, 25, -2, 16, 35, 10, -74, 13, 87, 28, 82, -67, 57, 54, 79, 89, -38, 84, 16, 4, 33],
[39, 74, 69, 20, -5, 88, 44, 46, -82, 35, 21, -80, 59, 5, 90, 78, 98, 82, 11, 64, 3, 36, 96, -56, 6, 20, 78, 33, 79, 100],
[76, 96, 28, 40, 79, 47, -45, -72, 65, 64, 53, -1, 25, 67, 70, 71, 43, 19, 44, 12, 65, 4, 43, 72, 7, 79, 20, 92, 10, 49],
[-76, 27, 88, 40, 7, 55, 11, 93, 93, 62, -100, 61, 19, 67, 10, 11, 36, 2, 85, 56, -6, 64, 70, 60, 20, 62, 63, 41, -26, 12]]
[[0, 77, 40, 78, 0, 35, 62, 51, 35, 42, 19, 53, 100, 34, 8, 51, 75, 72, 66, -68, 64, 43, 8, 23, 74, 17, 85, 49, 59, 42],
[92, 17, 0, 71, 44, -34, -31, -69, 2, 20, 18, 68, -96, 0, 63, 28, 41, 0, 57, 26, 22, 31, 77, -5, -23, 62, 73, 33, 81, 57],
[57, 29, 13, 54, 46, 72, 0, 0, 92, 0, 100, 52, 89, 41, 65, 58, 88, 78, 86, 94, -72, 52, 0, 0, 23, 58, 28, 27, 19, 0],
[36, 81, 91, 49, 50, 43, 40, 87, 82, -43, -26, 0, 2, 67, 91, 86, 17, 31, -56, 58, 0, 93, 93, 28, 24, -21, 14, 97, 56, 21],
[2, 10, 0, 40, 22, 85, 88, 91, 9, 0, 33, 39, 0, 93, 0, 49, 16, 39, 0, -53, 85, 62, -75, 41, 0, 32, 33, 51, 76, 79],
[89, 0, 67, 15, -57, 53, 7, 40, 0, 87, 77, -16, 42, 19, -91, -16, 89, 38, 0, 65, 45, -46, 86, 36, 75, 12, 76, 13, 63, 63],
[70, 82, 25, 0, 64, 9, -9, 5, 25, 3, 39, 0, 14, 41, 97, 19, 42, 18, 47, 44, 7, 31, 0, 0, 20, 19, 97, 0, 11, 11],
[68, 72, 8, 0, 26, 22, 81, 75, -26, 26, 9, 0, 67, 0, -37, 51, 72, 42, 0, -73, 23, -55, 24, 0, 67, 48, 77, 9, 93, 53],
[-85, 53, 9, 32, 98, 42, 0, 88, 84, -81, 89, 91, 41, 51, 97, -58, 19, 51, -13, 40, -64, 51, 59, 37, 39, 93, 23, 92, 84, 96],
[39, 62, 0, 70, -34, -88, -93, 61, 1, 10, 53, -36, 87, 38, 98, 50, 72, 4, 55, 94, 83, -75, 69, 57, 84, 8, 68, 12, 29, 24],
[74, 55, -29, 56, 37, 27, 3, 0, 0, 73, 73, 89, -95, 20, 90, 83, 0, 57, 6, 56, 13, 87, 27, 93, 41, 17, 55, 11, 61, 84],
[53, -24, -42, 10, 0, 0, 28, 0, 17, 74, -15, 0, 3, 46, 46, -83, 0, 38, 44, 55, 99, 0, 15, 15, 47, 59, 33, 76, 58, 83],
[29, 0, 45, -12, 47, 77, 28, 51, 23, 84, 25, 58, 10, 4, 11, 71, 14, 97, 85, 82, 14, 25, 50, 83, 40, 40, 8, 21, 0, 24],
[10, 86, 35, 83, 0, 64, 81, 75, 71, 4, 90, 82, 76, 74, 11, 76, 8, 38, 65, 0, 0, 86, 34, 99, -14, 59, 11, 59, 1, 72],
[83, 3, 79, 72, -5, 23, 76, 14, 98, 29, 80, 0, 28, 68, 11, 3, 22, 40, 54, 27, 68, 0, 47, 85, 35, 82, 48, 81, 89, 91]]
[896, 514, 147, 504, 242, 669, 427, 169, 945, 312, 311, 119, 963, 1094, 325]
