3
100
50
[[89, -10, 15, 67, 42, -9, 82, 28, 15, -18, 95, 65, 58, -29, 75, 71, 26, 22, 32, -50, 88, 52, 61, -17, 60, 40, 0, 87, 95, 97, 4, 31, 28, 72, 42, 34, 64, -1, 67, -99, 49, 82, 47, 7, 26, 10, 71, 61, -5, 59, 55, -33, 80, 44, 50, 73, -14, 48, 22, 75, 59, -22, 26, 28, 73, -42, 81, 46, 93, -94, 35, 42, 32, -46, 45, 2, 13, -68, 21, 60, -52, 21, 44, 90, 57, -21, -26, 13, 10, 61, 97, 60, 45, -51, 54, 60, 27, -69, 49, 7],
[16, -2, -93, 97, 80, 74, 22, 87, 26, 34, 45, -18, 76, 43, 33, 30, 36, 39, 40, 62, 95, 98, 70, -17, -80, 76, 11, 38, -30, -90, 31, 54, 70, -89, 29, 30, 9, 40, 12, 75, 40, 100, 7, 38, 19, 83, 90, 19, 29, 69, 4, -18, 27, 94, 46, 74, -83, 37, 11, 3, 23, -19, 22, 71, 31, 10, 39, -50, 16, 6, 11, -53, 54, -47, 59, 96, -58, 95, 78, 16, 4, 45, 20, -90, 40, 100, 98, 80, 32, 17, -10, 74, 90, 98, 33, 77, 40, 81, 18, -3],
[8, -92, 45, -43, 21, 68, 88, 44, 9, 44, 55, 80, -58, 55, 52, 18, 50, 67, -85, 72, 100, 48, -19, -37, -66, 33, -72, 84, 74, 32, 92, 87, 78, 36, -23, 29, 48, 64, 70, 20, 35, 93, 68, 36, 14, 68, 18, 48, -92, -13, -8, 63, 95, 70, 54, -32, -56, 53, 37, -47, 57, 57, 77, 71, -11, 71, -25, 22, 60, -67, 82, 3, 63, 39, -55, -50, 14, 77, -88, 76, 5, 84, -20, 51, 97, -46, 88, 5, 14, 50, 37, 62, 9, 41, 86, 24, -37, 74, 12, 84]]
[[91, 12, -97, -47, 62, -70, 3, 75, 30, 72, 16, 52, 41, 10, 55, 19, 87, 49, 36, -20, 5, 0, 7, 98, 9, 72, 46, 0, -2, 84, -13, 33, -18, 0, 31, 0, 33, 69, 2, 44, 89, 90, 0, 0, 65, 47, 93, 70, 69, -15, 22, 0, 33, 14, 60, 25, 94, -61, 94, 51, 22, 83, 77, 0, 57, 57, 33, 62, 0, 0, 28, 12, 58, 71, 1, -45, 58, 81, 75, 19, 20, 69, 16, -46, 15, 30, 99, 21, 3, 18, -2, 62, 65, 98, 6, 0, 25, 96, -95, 55],
[0, 0, 0, 18, 74, 56, 91, 64, 20, 0, 61, 0, 67, 93, 22, 92, 84, 10, 67, 48, 75, 58, 87, 89, 11, -32, 68, 4, 17, 25, 84, 0, 67, 74, 30, 9, 0, 31, 1, 0, 0, 67, 96, 68, 20, 97, 68, 73, 38, 17, -90, 31, -14, 76, 0, 0, 34, 65, 64, 36, 23, 2, 0, 69, 64, 0, 1, 79, 0, 0, -84, 55, 16, 68, 5, 50, 93, 100, 0, 2, 30, 74, 90, 95, 30, -62, 21, 93, 0, 64, 4, 13, 37, -63, 20, 39, 7, -74, 99, 94],
[-2, 46, 0, -62, 55, -89, 70, 12, -71, 44, 25, 3, 91, 31, 7, 12, 0, 75, 42, 99, 30, -17, 71, -2, 37, 21, 72, -12, -9, 0, 80, 57, 39, 66, 21, 97, 70, 77, 67, 56, 22, -37, -27, 96, 58, 0, -63, 65, 76, 95, 65, 70, 5, 35, 32, 0, 0, 42, 0, 49, 4, 70, 58, 98, 43, 70, 22, 52, 12, -40, 44, 10, 39, 4, 23, 52, 97, 87, 99, 48, 12, 0, 33, 79, 71, 49, 31, 58, 10, 97, 65, 20, 45, 78, 39, 46, 74, 8, -79, 94],
[43, 6, 0, 99, 40, 89, -57, -6, 49, 87, 35, 67, -7, 14, 0, 7, -66, 47, 62, 38, 84, 72, 77, 83, 28, 51, 0, 82, 97, 55, -12, 0, 0, 50, 42, 28, 27, 0, 60, 58, 63, 1, 95, 5, 33, 80, -60, 97, 7, 5, 33, 100, 0, 10, 80, 46, 0, 86, 0, 81, 50, 99, 44, -24, 2, 40, 37, 0, 31, 0, 51, 32, 13, 47, 63, 13, 29, 8, 98, 33, 85, 6, 28, 36, 73, 96, 68, 55, 5, -53, 63, 11, 23, 0, 0, 69, 95, 85, -23, 0],
[0, 16, 60, 28, 93, -9, 57, 56, 0, 47, 87, 60, 15, 9, 54, 11, 100, 12, 35, 89, 44, 13, 53, 92, 41, 9, 3, 84, 0, 92, 0, 79, 71, 100, 39, 33, 56, 23, 12, 40, -56, 42, 9, 21, 60, 84, 16, 100, 40, 69, 34, -97, 76, 57, 2, 91, 77, 100, 75, 0, 35, 60, -23, 9, 61, -68, 42, 41, 9, 87, 69, 86, 0, 18, 0, 93, 21, 96, 36, 1, 37, 52, 99, 2, 24, 0, -90, -25, 92, 53, -96, 2, 19, 34, 64, -1, -58, 60, 0, 53],
[77, 5, 30, 80, 70, 31, 30, 13, 62, 47, 53, 33, 6, 7, 46, 0, 22, 67, -28, 87, 16, 0, 89, 58, -4, 0, 43, 100, 77, 94, 1, 15, 19, 64, 44, 30, 31, 50, 35, 13, 95, 83, 75, 25, 76, 0, 0, 75, 98, 70, 78, 0, 8, 29, 92, 87, 97, 84, 4, 2, 45, 62, 72, 37, -65, 75, 7, 95, 0, 24, 21, -48, -98, 93, 79, 0, 64, 84, 20, 63, 61, 87, 94, 22, 7, 12, 71, 0, 80, 100, 52, 85, 42, 67, 63, 29, 0, 26, -82, 0],
[8, -11, 0, 61, 4, 59, -89, 0, 97, 24, 60, 1, 18, 0, 43, 83, 23, 71, 13, 7, 28, 0, 0, 15, 97, 21, 20, 50, -41, 26, 97, 5, 31, 2, -46, 0, 61, 19, 99, -15, 1, 42, 1, -61, -40, 35, 67, -57, 35, 48, 26, 27, 47, 58, 49, 67, 24, -61, 10, 34, 50, 10, 0, 54, 6, 9, 50, 68, 17, 0, 62, 37, 11, 38, 84, 29, 0, 0, 85, 95, 81, 62, -35, -46, 71, 52, 84, 0, 21, 55, 80, -37, 34, 45, 0, 72, -79, 63, 58, 86],
