4
20
10
[[56, -7, -14, 1, 80, 51, 12, 33, 12, 5, 9, 15, 57, 4, 50, 81, 53, 87, 46, -48],
[34, 75, 79, 72, -50, 56, 4, 89, 96, -90, 55, -49, 67, 47, 25, -62, 3, 6, -81, 74],
[55, 30, 100, 21, -89, 40, 23, -27, -71, 2, 21, 14, 53, 7, 99, -58, 10, 12, 92, 4],
[65, 69, -64, 79, 63, -80, -79, 8, 56, 48, 98, -94, 64, 16, 52, 57, 66, 4, 68, -33]]
[[36, 0, 15, 76, 22, 92, 63, -39, 38, 39, 91, 0, 75, 100, 49, 88, 1, 94, 38, 62],
[22, 60, 68, 40, -37, 88, 96, 0, 46, 0, 95, 87, 46, -32, 47, 93, 32, 0, 92, 58],
[63, 15, 30, -38, 56, 59, 21, 26, 55, 97, -67, 24, 3, 0, 100, 68, 34, 51, 73, 47],
[0, 91, 42, 91, -12, 4, 18, 13, 96, 39, 97, -69, 50, 14, 42, 55, 82, 21, 79, 0],
[96, 57, 0, 69, 22, 34, 0, 40, 21, 30, 12, 94, 27, 10, 98, 59, 56, 62, 0, 89],
[11, 97, 67, 76, 26, -80, 75, 0, -100, 12, 87, 6, 0, 60, 68, 66, 89, 25, 3, 21],
[46, 99, 57, 0, 58, -6, -12, 12, -51, 80, 0, 45, 85, 91, 23, 89, -42, 83, 16, 69],
[71, 2, 89, 0, 39, 41, 80, 22, 6, 0, 29, 23, 51, 11, -28, 77, 46, 65, 5, 59],
[42, -54, 93, 86, 81, 0, 73, 56, 98, 32, 16, -60, 54, -94, 59, 25, 7, 98, 25, 14],
[33, 19, 7, 72, 75, 90, 82, 36, 57, 47, 20, 29, 95, 76, 71, 6, -51, 76, 68, 30]]
[739, 196, 296, 297, 730, 495, 736, 489, 229, 449]
