3
90
45
[[30, -37, 91, 25, -24, 91, 67, 100, -95, 84, -43, -12, 77, 15, 94, -29, 94, 55, -5, -31, 0, 75, 31, 55, 92, 32, 38, 26, 90, 73, -63, 5, 79, 16, 41, -54, 46, 9, 95, 14, -98, 35, 68, 55, 3, 39, 72, 73, 6, -76, 74, 90, 93, -4, -37, 73, 57, 6, 70, 82, 90, 14, 67, -89, 76, 21, 7, 69, -90, 86, 77, 40, 67, 58, 8, 10, -39, 59, 11, 1, -94, 36, 34, 12, 71, -81, 58, 82, 5, 62],
[80, 12, 97, 69, 41, 95, 92, 61, 36, 72, 73, -46, 50, 56, 75, 70, 90, -5, -47, 94, -67, -58, 19, 51, 78, 62, 13, 82, 52, 18, 55, -19, 70, 30, 40, 17, 12, 99, 64, 87, 72, 93, -36, 48, 11, 42, 53, 10, 0, 45, 64, 13, 22, 8, -39, -72, 43, 18, 96, 22, 31, 73, -12, -94, -77, 29, -86, 65, 54, 23, 67, 48, 73, 17, 32, 75, 4, 48, -69, 82, 5, 43, 53, 57, 80, -78, 32, 57, 37, 73],
[13, 33, 96, -90, 35, -19, 2, 61, 31, 63, 98, -43, 56, 34, -12, 63, 55, -80, 78, 77, 23, 54, 83, 82, 33, 24, 29, -39, -3, -23, -98, 89, 36, 7, 39, -74, 43, -12, 97, 38, 14, 61, 45, 28, 17, 28, 45, 77, -76, -6, 69, 27, 2, 37, -14, 29, 38, -56, -88, 24, 78, 50, 69, 4, -88, -43, -79, -8, 0, 22, -96, 88, 42, 24, 5, 85, -99, 6, 62, 64, 10, 55, 5, 55, 77, 93, -71, 23, 12, 25]]
[[4, 100, -45, 31, 83, 20, 46, 41, 17, 34, 8, 59, 63, 7, 88, 34, 72, 93, 27, 20, -11, 82, 3, 75, 0, -92, 15, 18, 13, 100, 41, 97, 52, 25, 57, 98, 38, 47, 40, 47, 77, 18, 7, 84, 0, 83, 30, 79, 15, -15, 65, 91, 70, 77, 68, 89, 22, 45, 0, 80, 70, 79, 98, 31, 57, 44, 4, 41, 47, 11, 36, 77, 78, 6, 73, 86, 54, 94, 6, 9, 64, 12, 30, 100, 20, 0, 55, 40, 0, 62],
[34, -81, 62, 69, 0, 94, 52, 74, 24, -86, 78, 34, 89, 81, -58, 28, 76, 96, 96, 20, -33, 0, 20, 2, 93, -5, 0, 29, 24, 0, 4, 90, 50, 22, 62, 80, 91, 9, -85, 72, 0, -36, 5, 5, 28, 51, 32, 65, 23, 99, -8, 86, 61, 42, 90, 36, -22, 30, 79, 17, -38, 80, 41, 72, 75, 69, 42, 100, -73, 66, 0, 0, -77, 1, 74, 88, 85, 58, 44, 9, 0, 84, 29, 28, 51, 11, 95, 3, 51, 96],
[75, 56, 41, 0, 84, 0, 99, 17, 1, 12, 17, 94, -66, 12, 72, -75, 70, -35, 60, -63, 90, 17, 20, 73, 100, 4, 0, 97, 60, 0, 89, 39, 0, 9, 0, 34, 36, 59, 21, 14, 9, 61, -31, 24, 61, 54, 82, 68, 57, 29, 61, 46, 34, -79, 79, 94, 21, 94, 17, 0, 78, 38, 46, 23, 38, 95, -86, 54, 0, 57, 43, 67, 22, 89, 0, 6, 62, 96, 38, 80, 7, 0, 0, -76, 58, 39, 35, 89, 38, 91],
[0, -99, 0, 63, -67, 39, 42, 81, 12, 83, 39, 78, 96, 75, 87, 56, 0, 0, 12, 100, 30, 36, 7, 67, 35, 69, 0, 0, -23, 94, 44, 38, 66, 41, 55, 5, 27, 86, 2, 40, 80, 46, 91, 56, 59, 41, -85, 33, 71, 58, 25, 79, 97, 14, 57, 66, 27, 0, 18, 39, 34, 27, 4, -33, 76, 42, -36, -21, 0, 44, 98, -19, 36, -25, 0, 50, 12, 46, 19, 43, 35, 0, 76, 0, 80, 6, 42, 77, 16, 78],
[0, 50, 55, 48, -2, 51, 52, 58, 61, 67, 74, 19, 0, -5, 22, 34, 52, 94, 0, 55, 86, 31, 93, 20, 59, 26, 19, 98, 13, -67, 25, 2, 21, 64, 16, 0, -100, 33, 62, 0, 12, 35, 99, 37, 91, 100, 18, 94, 0, 14, 57, 68, 53, 43, 5, -2, 17, 95, 71, 91, 39, 66, 58, 56, 83, 29, 20, 13, 65, 57, 60, 29, 28, 30, 70, 64, -41, 71, 0, 0, 95, -6, 39, 0, 0, 87, 6, 52, 100, 42],
[-29, 72, 87, 51, 0, 68, 76, 34, 86, 85, -77, 88, 15, 95, 0, 0, 41, 8, 93, 51, 49, 22, 0, 98, 34, 65, -49, 30, 56, 38, 54, 13, 92, 97, 25, 7, 44, 19, 73, 0, 7, 4, 0, 72, 59, 1, 22, 48, 44, 67, 95, 36, -12, 75, -61, 24, 54, -18, 43, 7, -19, -4, -40, 37, -18, -56, 96, 79, 59, 92, 1, 0, 54, 60, 0, 14, 67, 32, 98, 8, 97, 39, 68, 21, 19, 100, -23, -75, 54, 15],
[0, 98, 24, 43, 22, 56, 0, 94, 9, 80, 46, 55, 36, 82, 9, 6, 43, 79, 58, -36, 30, 0, 48, 29, -37, 86, 0, -57, 58, 28, 71, 68, 18, 0, -5, 67, -3, 33, 0, 80, 8, 31, 71, 66, 0, 24, 49, 64, 30, 3, 48, 73, 0, -30, 34, 38, 0, 46, 81, -31, 74, 50, 78, 59, 84, 81, 30, 84, -58, 72, -83, 39, 5, 30, 93, 14, 84, 64, 62, 3, 11, 31, 11, 0, 54, 14, 16, 93, 73, 77],
[77, 36, 34, 22, 21, 41, 7, 72, 0, 14, 83, 25, 95, 0, 68, 22, 64, 96, 58, 98, 25, 0, -36, 10, 22, 20, 99, -39, 1, 41, 25, 68, 99, 44, 24, 95, -4, 0, -40, 15, 86, 16, 41, 0, 63, 0, 4, 64, 32, 0, 97, 34, 0, 29, 25, 28, 6, 82, 84, 11, 15, 87, 32, 97, 29, 7, 24, 99, 90, 66, 0, 93, 75, 81, 19, 76, 91, 30, 1, 0, 0, 49, 2, 0, 64, 0, 0, 40, 68, -28],
[8, 48, 24, 69, 0, 99, 92, 0, 87, 3, 81, 53, 87, -68, 74, 38, 25, 87, 71, -6, 24, 38, 78, 17, 23, 0, 3, 6, 79, 0, 44, 71, 24, 27, -35, 20, 37, 47, 3, 30, 0, 52, 42, 31, 51, -42, 54, 49, 67, 62, 9, 96, 97, 16, 41, 100, 28, 100, 7, 17, 40, 36, 19, 28, 27, 62, 49, 6, 95, 16, 61, 0, 89, 96, 73, 75, 66, 64, 69, 86, 75, 15, 0, 71, 0, 65, 84, 97, 96, 66],
[38, 0, 0, 82, 31, 36, 26, 54, -98, 25, 80, 38, 0, 38, 0, 33, 42, 40, 39, 46, 24, 60, 55, 48, -15, 72, 0, 51, -39, 81, 78, 33, 98, 13, 95, 23, 0, 99, 53, 60, -40, 51, 56, 82, 37, 41, 25, 70, 95, 12, 20, 94, 74, 9, 46, 26, -87, 38, 52, 0, 89, 68, 93, 94, 60, 0, -70, 84, 72, 17, 83, 49, -32, 86, -70, 27, 25, 26, 86, 44, 50, 79, 100, 5, 20, 53, -17, -90, 63, 58],
[84, 58, 76, -38, 51, 15, 0, 0, 12, 99, 100, 0, 2, -64, 0, 99, -88, 41, 42, 74, 0, -64, 56, 97, 94, 80, 90, 75, -2, 13, 89, 35, 81, 38, 68, 51, 41, 67, 64, 63, 54, 32, 6, -49, -18, 40, 33, 68, 0, 6, 68, 41, 82, 18, 92, 40, 34, 81, 88, 28, 69, 31, 24, -94, 5, 0, 72, 67, 34, 41, 0, 21, 35, 32, 0, 19, -44, -31, 41, -28, 16, -50, 35, 80, -55, 0, 86, 81, -28, 0],
