3
40
20
[[59, 19, 72, 0, -94, 82, 57, -42, 82, 41, 30, -51, 3, 16, 57, 94, 9, 67, -40, 62, 16, 77, 43, 12, 49, 59, 36, 26, 71, 82, 18, 44, 89, 8, 78, 16, -86, -33, 28, 83],
[33, 56, 50, -91, 24, -51, 68, -29, 3, 5, -50, 75, 13, 23, 21, 19, 48, 24, -43, 19, -75, 25, -39, -51, 77, 46, 76, 93, -37, 32, -77, 39, 26, 70, -3, -35, 56, -84, 88, 83],
[21, 92, -51, -13, 0, 98, 71, 95, -100, 81, -48, 21, 37, 26, 5, 89, 37, 24, -37, 99, 32, -13, 33, -100, 47, -69, -73, 8, 92, 89, -57, 24, -44, 68, 61, 85, -38, 98, -46, -71]]
[[21, 99, 86, 29, 56, 98, 0, 74, 7, 64, 64, 2, 35, 73, 75, 10, 95, 72, 36, 17, 18, 27, 20, 61, 24, 12, 22, 0, 56, 29, 17, -96, 98, 61, 89, 3, 0, 60, 71, 44],
[-33, 17, 77, 11, 72, 28, 42, 78, 86, 24, 61, 92, -16, 72, 80, -32, 58, 1, 16, 0, 88, 94, 91, 54, 11, 53, 53, 77, 64, 0, 28, 29, 39, 82, 21, 51, 84, 81, 91, -88],
[0, -28, -44, 78, -87, 36, 83, 37, 49, 0, 70, 0, 0, 99, 0, 58, -58, 21, 75, 60, 44, 41, 28, 98, -62, 31, 51, 57, 2, 0, 13, 22, 0, 92, 50, 28, -4, 47, 28, 13],
[51, 15, 9, -6, 8, -63, 56, 35, 50, 97, 0, 6, 0, 53, 94, 63, 0, 0, 0, 26, 84, 47, 40, 95, 10, 95, 3, 53, 0, 59, 27, 0, 21, 45, 48, 14, 10, 4, 56, 10],
[-82, -3, 6, 29, 21, 56, 98, 67, 82, -18, 19, 49, 0, 4, 3, 0, 6, 24, -94, 64, 54, 22, -71, 0, 97, 28, -65, 20, 16, 50, 0, -49, 27, 64, 60, 80, 5, 6, 42, 45],
[98, 0, 34, 52, 99, 74, 0, 25, 20, 14, 41, 50, 88, 70, 0, 5, 12, 57, 69, 10, 14, -94, 26, 12, 19, 89, 34, 38, 60, 0, 74, 72, 54, -12, 77, 91, 92, 4, 25, -11],
[83, 9, 0, 47, 0, 66, 94, -49, 62, 14, 37, 34, 84, 37, 58, 52, 61, 46, 52, -85, 26, 47, 0, 99, 49, 59, 94, 25, 34, 64, 14, -54, 63, 17, 33, 47, 48, 45, 15, 13],
