4
20
10
[[18, 18, 39, 45, 7, 44, -66, -34, 32, 54, 18, -64, -50, 90, 17, 34, 20, 99, 28, 4],
[67, 19, 33, -64, 92, -94, 76, 100, 13, -10, 54, 65, 77, 34, 7, 42, 86, 76, 47, 86],
[2, -51, 35, 4, 38, -22, -81, 66, -94, -99, 38, 89, 4, 43, 77, 91, 20, 58, 90, 4],
[58, -81, 26, -27, 86, 47, 17, 47, 0, -27, 19, 57, 5, 96, -24, -78, 83, 11, 27, -59]]
[[41, 0, 23, 17, -25, 28, 6, 42, 59, 70, 52, 41, 0, 100, -22, 22, 59, 49, 86, 39],
[-37, 0, 70, 41, 35, 5, 20, 39, 62, 43, 10, 78, 26, 91, 0, 30, 52, 11, 63, 91],
[59, -81, 77, 15, 96, 79, -81, 74, 84, 57, 94, 86, 63, 50, 26, 71, 50, 62, 49, 64],
[43, 52, 23, 83, 54, 0, 6, -34, 37, 0, 0, 63, 46, 0, 7, 28, 2, 15, 21, 43],
[25, 17, 11, 43, 91, 94, -59, 99, 69, 94, -96, 8, 91, 98, 94, 20, 0, 36, 81, 3],
[82, 59, 9, 11, 34, -18, 81, 16, 41, 0, 34, 47, 23, 12, -60, 0, 90, 14, 19, 4],
[38, 81, 15, 92, 11, -88, 56, 96, 41, -18, 21, 71, 0, 18, 80, 64, 59, 59, 12, 27],
[30, -17, 69, 65, -14, 91, -9, 22, 79, 31, -81, -42, 0, 95, 96, 26, 51, 19, 5, 2],
[49, -11, 66, 0, 45, 21, 87, 4, -5, 32, 18, 27, 94, 5, 43, -89, 55, 0, 0, 82],
[26, 6, 82, 74, 30, 17, 89, 47, 67, 62, 35, 76, 22, 77, 0, 5, -2, 7, 82, 42]]
[605, 715, 493, 268, 518, 217, 719, 158, 217, 590]
