4
70
35
[[-76, -2, 80, 38, 76, -29, 93, -17, -13, -45, -34, -88, 96, 8, 92, 52, 42, 35, 100, 98, 56, 12, 58, -55, 92, 27, 93, 69, -55, 47, 22, -47, 49, -14, 62, -77, 53, 65, 33, 56, 11, -18, 23, 92, 29, 6, 37, 15, -52, 35, 86, 27, 95, -51, 2, 52, 89, 18, 87, 81, 48, -34, -55, -29, -16, 4, 65, 9, 23, 86],
[64, 40, 72, 65, 68, 74, 31, 1, 22, 72, 80, 77, 7, -98, 44, -44, 25, -39, -47, 56, 71, 37, 70, 79, -89, 98, -75, 34, 59, 63, 25, 12, 15, 48, 99, 91, 34, 71, 66, 95, 100, -33, 66, 58, 38, 28, 40, 14, 13, 25, 67, 82, 44, 4, 2, -12, 92, 28, 58, -18, -93, 60, 52, 4, 37, 78, 46, 4, -88, 0],
[8, -82, -56, 57, 33, 100, 51, 89, 33, -33, 22, 74, 5, 59, 88, 33, -52, 97, -2, 97, 93, -29, 55, 45, -47, 58, 59, 44, 10, 82, -38, 95, 67, -95, 44, 97, 98, 80, 28, 41, -63, -43, -69, 60, 4, 40, 57, 79, 25, -11, 86, -95, -46, -64, -91, 64, 78, 44, 22, 50, 45, -7, 24, 27, 56, 17, 3, 26, 7, 40],
[41, 64, 24, 26, 11, 73, 67, 60, -63, -61, -97, 36, 80, 65, -76, 3, 8, 83, 76, 79, -14, 44, 17, 43, 91, -52, -61, -99, 46, 6, 72, 36, 78, 12, 28, -60, 43, -34, 88, 15, 93, 74, 48, 52, -58, 65, 68, 94, 20, 99, 98, 63, 23, 0, 39, 90, 80, 65, 38, 23, -26, -6, 90, -12, 94, -42, -75, 31, 50, 60]]
[[0, 50, 72, 14, 49, 21, 22, 74, 43, 91, 93, -26, -23, 71, 4, 69, 0, 19, 63, -95, -47, -74, 24, 94, -1, 94, 73, 7, 75, 46, -36, 73, 76, 70, 96, 44, 77, 70, -73, 3, 43, 60, 0, 67, 68, 35, 92, 0, 69, 34, 32, 14, 79, 45, 91, 11, 100, 90, 70, 26, 51, 94, 44, 0, 13, -1, 39, 65, 0, -46],
[46, 67, 29, 29, 90, 0, 0, 63, 42, 9, 51, 61, 71, 80, 13, 90, 44, 1, 0, 29, 2, 0, 13, 69, 95, 0, 3, 11, 26, 94, 42, 37, 18, -28, 8, 26, 14, 53, 40, 2, 0, 12, 79, 86, -99, 95, 89, 63, 0, 71, 93, 73, 0, 0, 45, 20, 49, 99, 33, 4, -41, -90, -1, 96, 100, 0, 71, -45, 77, 62],
[0, 83, -24, -100, -64, 6, 34, 0, 42, 0, 38, 94, 96, 55, 12, 24, 95, 1, 42, 80, 79, 0, 0, 62, 95, 0, 5, 0, 38, -21, 69, 84, 66, -49, 48, 38, 29, 0, 7, 48, 96, 86, 0, 90, 18, 31, 60, 32, 79, 51, 58, 83, 88, 0, 0, 0, 0, 68, -60, 94, 55, 80, 11, -31, 9, -87, 98, 17, 62, 51],
[-38, 28, -65, 49, -71, -46, 0, 27, 92, 94, -5, -14, 71, -51, 3, 82, 0, 50, 71, 76, 0, 6, 41, 0, -34, 98, 35, 58, 85, 13, 1, 90, -75, -38, 42, 61, 0, 47, 77, 42, 54, 79, 0, 0, 73, 61, 71, 25, 0, 25, 40, 17, 22, 99, 25, 51, 0, 33, 46, 0, 63, 53, 49, 92, 1, -67, 48, 13, 54, 43],
[-34, 60, 38, 43, 4, 46, 74, 40, 59, 51, 69, 14, 89, 96, 21, 31, 23, 66, 82, -57, 30, 76, -44, 0, 15, 4, 19, 95, 67, 56, 94, -81, 27, -54, 92, 31, 84, 53, 77, 40, 18, 73, 22, 98, 39, 79, 57, 13, 8, 71, 14, -24, 22, 85, 97, 90, 0, 63, 89, 48, 67, -45, 58, 11, 62, 12, 83, 0, 80, 66],
[62, 23, 56, 26, 14, 22, 74, 79, 32, 72, 60, 55, 96, 23, 58, 63, 0, 86, 30, 21, 84, 96, 68, 43, 5, 70, 92, 53, 48, 56, 2, 40, 16, 16, 96, 19, 30, 0, 97, 86, 92, 0, 91, -84, 43, 88, 41, 39, 10, 5, 99, -40, 0, 90, 24, 18, -19, -73, 100, 62, 79, 30, 66, 0, 0, 29, 51, 68, 14, 31],
[0, 90, 64, 42, 16, 28, 84, -98, 0, 69, 97, 0, 66, 12, 16, 18, 29, 1, 0, 64, 7, 4, 83, 31, 85, 71, 74, 67, 34, 45, 46, 85, 98, 0, 15, 56, -11, 0, -63, 89, 82, 12, 26, 20, 18, 23, 20, 31, -41, 22, 43, -93, 94, 0, 31, 0, 99, 13, 0, 38, 66, 13, 0, 75, 20, -58, 34, 31, 68, 22],
[73, 69, 0, 62, 100, -37, 73, 8, 45, 30, 88, 44, 36, 97, -88, 0, 69, 54, 4, 99, 43, -9, 79, 45, 29, 100, 14, 36, 7, -71, -79, 72, 38, 28, 68, 69, 0, 61, 12, 93, 74, 0, 66, 53, -34, 11, 68, 44, 22, 63, 22, 76, 42, -50, 20, 82, -32, -19, 34, 35, 93, 97, 77, 98, 22, 48, 92, 33, 32, 22],
