4
60
30
[[57, 74, 15, 78, 98, 63, 78, 18, 93, 4, 49, 95, 74, 29, 95, 15, 46, -3, 92, 40, -3, 11, 71, 10, 94, 76, 74, 48, 22, 96, 85, 69, 0, 92, -60, 82, 35, -87, 21, 71, 38, 57, 15, 60, 82, 55, 66, 98, 91, -42, 20, 70, 32, -38, 7, 69, 79, 57, -70, 32],
[73, -22, 11, 5, 64, 34, -96, 40, 87, 91, -66, 39, 86, -93, 14, 28, -74, 26, 83, 41, 96, 31, -22, 36, 74, 60, 87, -78, 97, 90, 70, 98, -75, 35, 55, 55, 51, -51, 57, -4, 13, 39, 56, 74, 91, 63, 82, 57, 85, -86, 68, 90, 55, 50, 26, 42, 1, -61, 42, 9],
[76, 94, 33, 64, 42, 57, 48, 29, 86, 14, 25, 51, 37, -16, 2, -88, 66, 35, -44, -84, -24, 8, 19, 27, 17, 17, 98, 69, 58, 14, 47, 38, 33, 12, -29, 88, 1, -28, 33, 26, 42, 93, 11, 75, 14, -71, 15, 76, 41, -63, 17, 60, 20, 40, 33, 3, 10, -86, 57, -9],
[78, 33, -12, 42, 97, -59, 5, 32, 34, 80, 39, -58, 79, 71, 46, 7, 83, 17, 50, 0, 39, 61, 43, -30, 66, 45, 33, -47, 45, 49, -15, 14, 98, 39, 91, 95, 81, 75, 49, 0, 96, 19, 32, 41, 97, -32, -54, -51, 14, -9, 27, -65, 43, 31, -45, 6, 77, 79, 99, 87]]
[[-10, 24, 63, 1, 87, -58, 22, -50, 98, 0, 43, 81, 12, 14, -45, 16, 84, 85, 24, 29, 46, 14, -42, 56, 19, 25, 63, -48, 59, 77, 0, 92, 44, 60, 76, 0, -54, 37, 69, 82, 33, -2, 62, 61, 0, 19, 12, 40, -93, 57, 55, 86, 79, 92, 19, 22, 19, 41, 83, -65],
[54, 49, 17, 94, 9, 55, 47, -82, 2, 15, 80, 8, -3, 85, 18, 37, 58, 58, 38, 74, 13, 86, 38, -46, 63, 28, 27, 44, 17, 23, 10, 6, 45, 41, 16, 0, 28, 12, 81, 0, 21, 11, 22, 83, 61, 94, 34, -59, 70, 3, 0, 19, 94, 68, -68, 22, 70, -16, 0, 21],
[81, 80, 33, 6, 52, 75, 60, 88, 40, 59, 5, 45, 81, 90, -51, 90, 89, 95, 52, -8, -9, 66, 61, 4, 8, 71, 0, 16, 25, 75, 95, 16, 53, 19, 37, 0, 40, 0, 5, 94, 67, 66, 65, 72, 63, 25, 23, 0, -62, 55, 63, 60, 94, 93, 4, 22, 21, 0, 50, 4],
[67, 0, 4, 3, -23, 60, -92, 60, 81, 83, -39, 30, 58, 50, -78, 28, 20, 66, 83, 28, 15, 60, 74, 0, 0, 78, 62, 33, 62, 35, 0, 58, 24, 83, 5, -50, 33, -13, 0, 11, 89, 46, 19, -96, 98, 41, 77, 90, 61, 23, 34, 78, -41, 94, 58, -31, 27, 0, 0, 22],
[19, 38, 59, 40, 36, 22, 2, 42, -91, 1, 86, -43, 32, 43, 94, 74, 0, 12, 100, 3, 22, 21, 73, 26, 80, 81, 41, 26, 16, 15, 91, 67, -86, 66, 0, 69, 0, 40, 71, 0, -4, 82, 72, 92, 74, 72, 78, 62, 31, 66, -70, 73, 92, 38, 30, 25, 40, -23, 0, 70],
[33, 100, 0, -39, 32, 28, 57, -87, 98, 92, 3, 46, 81, 7, 6, 58, 9, 34, 0, 96, 29, 9, 78, 0, 33, 0, 25, 58, 81, 46, 94, 38, 94, 79, 6, 86, -22, 0, 88, 1, -35, 17, 57, 79, 32, 67, 59, -100, 97, 7, 78, -29, 84, 2, 69, -27, 34, 55, 42, 12],
