3
70
35
[[81, 43, 91, 67, 82, -2, 86, 18, 44, 39, -25, 0, 40, 93, 41, 52, 44, -48, 48, 58, 2, 98, -75, 51, 45, -45, 11, 96, 90, -31, 22, 53, 16, 0, 25, 95, 15, -84, 7, 10, 57, 73, 22, 18, 57, -58, 8, -55, 0, 91, 5, -47, 77, 62, -65, 37, -62, 60, 78, 72, 67, 13, 9, 1, 5, -66, 76, -70, 57, -64],
[-35, 86, 84, 64, 25, 96, -52, 67, 68, 68, 60, 84, 91, 88, 7, 40, 98, 76, -29, 42, -27, 89, 47, 81, 23, 89, -50, 18, 86, 88, -71, 65, 54, 8, 80, 22, 89, 77, 66, 51, -95, 72, 11, -5, -4, -10, 11, 54, 97, 92, 12, 29, 24, 37, -38, -22, 28, 23, 41, 36, 2, 63, 82, 80, 79, 54, -16, -8, 88, 99],
[18, 17, 28, 86, 59, 6, 48, 76, 87, 8, 27, 57, 45, 21, 80, 84, -3, 45, 41, 96, 52, 63, 73, 30, 95, 24, 0, -67, 30, 79, 74, 8, 63, 98, 83, -95, 97, 35, 6, 29, 4, 21, 34, 51, 9, 75, -9, -46, 35, 58, 46, 54, 31, -88, 55, 37, 95, 65, 14, 93, 46, 5, 50, 92, -88, 3, 13, 1, 46, 81]]
[[46, 41, 23, 23, -42, 86, 0, 80, 14, 0, 29, -67, 49, 69, 77, 34, 23, 79, 31, -63, 10, 83, 9, 76, 59, 68, 2, -88, 22, 98, 3, 95, 11, 87, 75, 93, 21, 80, 22, 14, 50, 67, 82, 3, -41, 3, 31, 87, 71, 82, 98, 29, 0, 8, 71, 62, 13, 18, 24, 67, 56, 30, 0, 27, -63, 78, 0, 76, 70, 44],
[14, 3, 53, 83, 0, 80, 96, 48, 53, 52, 83, 35, -11, -6, 4, 38, 52, 48, 0, 93, 45, 78, 56, 0, 80, 20, 23, -21, 4, 68, 30, 36, 17, 44, 4, 56, -83, 0, 45, 93, 0, 59, 82, 40, 39, 31, -60, 78, 27, 64, 58, 42, 0, 60, 49, -100, 22, 1, 33, 100, 21, 26, 83, 4, 12, 21, 55, 24, 56, 97],
[97, 8, 46, 81, 67, 48, -100, 91, 79, 98, 70, 30, 3, 13, 93, 0, 90, 80, 9, 17, 14, 85, 91, 14, 38, 75, 0, 54, 89, 39, -59, 19, 0, 82, 57, 39, 27, 65, 0, 56, 89, 7, 6, 0, 59, 70, 0, -30, 32, 69, 71, 10, 99, 87, 47, 26, -34, 0, 73, 39, 46, 54, 0, 0, 87, 85, 36, 46, 47, -7],
[45, 89, 78, 85, 0, 49, 21, 48, 10, 27, 28, 0, 63, 16, 96, 53, 13, 1, -33, 58, 91, 2, 6, 88, 6, 5, -26, 0, 38, 87, 60, -52, 21, 86, 14, 80, 55, 67, 71, 82, 68, 55, 4, 40, 34, 38, 35, 78, 31, 78, 27, 10, 24, 76, 40, 44, -14, 76, 68, 0, 2, 68, 76, 72, 85, 9, 62, 39, 90, 0],
[55, 27, 61, 38, 92, 81, 94, 87, 3, 100, 94, -86, 74, 97, 69, 0, 24, 73, 50, 24, 89, 81, 69, 68, 31, 37, 0, 0, 33, 17, 71, 54, 26, 74, 64, 95, 22, 62, -37, 31, 68, 58, -21, 47, 0, 64, 22, 51, -32, 81, 92, -40, 25, 39, 8, 58, 36, 0, 40, 72, 10, 50, -57, 57, 62, 30, 77, 89, 58, 93],
[62, 78, 62, 37, 46, 71, 72, 11, 34, 27, 0, 55, 23, 49, 76, 65, 0, -94, 100, 67, 29, 0, 100, 30, 91, 10, 22, 41, 23, 20, 44, 12, -91, 0, 0, -87, 70, 14, 7, 0, 37, 51, 98, -48, 42, 48, -53, 0, 42, 58, 44, 55, 59, 7, 5, 0, 65, 72, 0, 70, 0, 94, 62, 62, -42, 0, 89, 3, 43, 91],
[97, 85, 0, 49, 28, 41, 79, 91, 36, 97, 91, -6, 76, 12, 0, 2, 0, 99, 18, -55, 69, 29, -30, -18, 42, 0, 39, 83, 56, 22, 74, 6, 58, 73, 57, 94, 49, 51, 37, 41, 100, 90, 20, 84, 35, -72, -57, 82, -28, 49, 36, 52, 8, -59, 60, 42, 40, 97, 5, 35, 84, 46, 97, 28, 83, 99, 0, 0, 2, 52],
[12, 11, 65, 68, 47, 59, 32, 31, 18, 87, 41, 87, 79, 59, -13, -28, 26, 71, 26, 14, 85, 58, 0, 88, 12, 61, 87, 85, 2, 4, -92, -22, -70, 79, 88, 0, 60, -94, 0, 0, 5, 11, 53, -63, 95, 77, 0, 83, 91, 33, 23, 0, 10, 77, 28, 86, 83, 36, 41, 3, 63, 62, 13, 22, 38, 70, 5, 2, 0, -22],
[62, 78, 58, 0, 98, -60, 63, 38, -50, 24, 23, -43, 11, 83, 45, 7, 23, 57, 31, 5, 70, 5, 84, 35, 27, 22, 66, 31, 17, 0, 61, 7, 98, 96, 12, 69, 35, 0, 67, 87, -71, 0, 52, 26, 93, -54, -99, -20, -54, 88, 42, 7, -62, 23, 8, 0, 10, 84, 1, 95, 39, 78, 98, 26, -70, -8, 46, 79, 31, 0],
