-3	-5	3	1	-7	10	6	5	-7	7	-3	-7	3	0	7	9	-8	-6	3	-9	7	-8	-8	3	3	-10	1	-9	9	-9	-2	-7	-9	-1	3	-1	3	4	6	8	59	59	-3	18	128	85	193	-20	78	-199	-143	150	-1	51	-66	-166	171	-17	-74	-117	2	58	135	175	-176	-54	-80	103	-192	75	130	-105	130	-142	175	-101	-196	110	-48	-198
-4	-4	-3	-10	-6	-9	0	3	8	6	8	-4	2	-10	10	1	-8	-2	-3	10	-9	6	8	-8	4	-5	-4	7	4	3	-6	8	-10	-8	6	-10	-7	10	-2	-5	-156	-105	141	-90	-199	180	94	170	-18	159	-70	153	125	-165	167	-30	-90	-61	31	-172	-163	-149	-188	94	69	54	48	-10	15	35	86	52	-19	92	87	-55	-144	-72	31	-109
0	9	-6	-4	0	5	4	-1	-8	0	-10	9	8	3	9	1	-7	1	-5	-10	9	5	-10	-5	7	-8	-3	-7	1	-1	-8	7	6	-6	-2	-9	-4	-9	-9	8	172	199	28	163	110	114	66	-165	-7	-185	-53	-141	193	-186	-127	127	21	56	87	-146	-70	-95	190	94	-18	50	84	6	178	-22	-176	24	159	-99	147	3	142	-94	-122	-8
4	-4	5	2	-4	-9	2	8	5	-2	-2	-9	-2	6	-8	0	7	-9	-9	2	0	-9	7	-9	9	-5	-9	-7	-5	-4	-8	7	0	6	9	-6	5	-6	-1	2	-122	14	-102	-39	-104	-18	-41	-16	65	-173	128	-149	141	116	-115	169	199	124	-108	17	-149	-84	-22	-132	29	130	194	197	20	-90	16	95	-3	42	143	-128	-20	52	-110	-183
10	1	7	9	-1	-8	5	2	6	0	9	-6	0	-1	-1	10	4	5	6	0	-2	-4	-3	-6	9	-8	9	-7	-5	-10	10	10	9	2	-4	6	5	-10	-3	-5	72	-166	116	-40	-30	-181	-182	-92	114	-30	9	-109	105	-76	30	-158	-56	5	156	-95	-146	77	96	-46	-115	-193	170	-120	-179	-137	-191	-63	64	120	-16	-111	22	148	-111	-61
-7	0	0	-17	-4	-19	-13	-6	0	-18	-10	-16	0	-14	-11	-16	-10	-14	-8	-12	-1	0	-8	0	-12	-8	-1	-13	-14	-12	-7	-1	-5	-3	-19	-11	-7	-3	-18	-10	-3	1	-14	-13	-11	-5	-3	-12	-9	-1	-7	0	-8	-18	-19	-20	-17	-17	-14	-12	-15	-17	-18	-19	-10	-15	-18	-12	-12	-2	-1	-8	-1	-5	-15	-12	-7	-15	1	-18
-4	-20	-20	-13	-7	0	-7	1	-13	-15	-10	-14	-17	-1	-10	-1	-10	-11	-4	-4	-5	-2	-10	-2	-12	-1	-4	-11	1	-16	-20	-14	-5	-19	-3	-4	-7	-13	-19	-10	-19	-13	-14	-4	-20	-11	-6	-14	-3	-6	-17	-14	-8	-17	-18	-16	-13	-15	-1	-12	-4	-5	-14	-9	-14	-2	-6	-20	-7	-2	-12	-5	-4	-11	-5	-3	-19	1	1	-12
-15	-16	-1	-10	-11	1	-16	-15	-8	-10	-5	-7	-1	-9	-13	-3	0	-10	-12	-18	0	-4	0	-18	-15	-12	-15	-4	0	-15	-18	-19	1	-10	-17	-12	-1	-1	-17	-13	-15	-12	-4	-9	-12	-5	-7	-1	0	-6	-1	-1	-11	-16	-5	-6	-14	-16	-4	-2	-11	1	-19	-5	-20	-19	-17	1	-1	-7	-13	-3	1	-15	-6	-7	-6	-20	-3	-2
-8	0	-9	-5	-18	-17	-11	-4	-13	-18	-14	-8	-11	-20	-8	-20	-10	-8	-8	-12	-11	-12	-14	-6	-7	-1	-3	-18	-19	-11	0	-16	-6	-4	0	-16	-4	-19	-7	-16	-4	-12	-8	-16	-5	-14	-17	-1	-9	-6	-15	-1	-1	-7	-2	-13	-2	-11	-4	-12	-15	-19	-17	-3	-12	-2	-11	-4	-10	-12	-14	-13	-20	-14	-7	-14	-6	-1	1	-5
-16	-17	-7	1	-11	-8	-13	-3	-17	-2	-4	-13	-16	1	-3	0	-6	-9	-14	-13	-19	-12	-6	-6	-15	-6	-2	-11	-12	-15	-11	-17	-13	-4	-5	-10	-15	-3	1	-5	-4	-12	-12	0	-15	-14	-20	-15	-15	-3	-8	-1	-19	-8	-4	-6	-4	-12	-11	-19	-13	-15	-10	-10	0	-6	-17	-18	0	-14	-5	-13	0	1	-10	-3	0	1	-16	-18
