8	-2	2	6	-9	-2	4	-5	6	-6	9	9	-3	-9	5	-8	0	-4	-4	-1	6	2	-2	-3	-10	-6	5	8	-8	8	3	4	-9	-5	7	7	-8	1	2	4	-122	10	-52	-165	-188	-27	-140	-142	13	14	171	-30	176	110	53	-167	131	20	181	123	4	138	-181	88	52	-77	0	-41	43	130	-172	-43	-145	-12	-198	59	-196	138	51	10
-7	3	8	4	3	9	3	-6	-3	7	1	-1	1	-7	-4	-6	-3	8	0	-4	1	6	-10	-3	-8	7	-6	7	-8	-8	10	10	-7	-5	-6	6	3	3	-6	-7	98	-26	-69	-110	143	22	178	-68	-72	-1	35	-2	-92	-39	-39	-97	-125	-56	-159	155	-66	17	158	-132	186	37	37	-99	99	-153	44	-119	-127	-10	115	-152	100	-6	165	145
8	-6	1	-8	4	0	8	9	4	-6	-10	9	2	8	-5	-6	3	-6	6	10	-9	-5	-6	-9	7	10	-5	2	0	10	-4	-4	-1	-6	-1	4	-2	4	3	0	-163	90	-78	-122	-54	101	-191	-139	-150	-35	-63	-92	126	-32	-193	-2	-140	172	-128	-68	-125	29	145	34	-153	-109	115	83	200	-77	112	120	-71	-197	86	-26	-182	149	164	55
-18	-7	1	-18	1	1	-9	-3	-17	-7	0	-8	0	-14	-10	-5	-11	-6	-16	-13	-8	-12	-7	-16	-5	-15	-18	-4	-8	-4	-1	-1	-9	-9	-14	-12	-13	-3	-16	-2	-3	-12	1	-16	1	-11	-18	-17	1	-11	-5	-18	-16	-8	-1	1	-13	-5	-12	-18	-17	-14	-7	-12	-6	-8	-2	-3	-4	-1	-4	-20	-5	-13	-15	-15	-17	-19	-18	-2
-12	-18	-9	0	-2	-20	0	-16	-13	-8	-2	-4	-16	-16	-12	-18	-4	1	-5	-2	-8	-15	-2	-13	-11	-19	-16	-1	-11	-16	-3	-4	-13	-9	-10	1	-9	-15	-14	-20	-4	0	-16	-5	-3	0	-4	-5	-16	-9	-13	-15	-11	-12	-18	-13	-5	-1	-7	-20	-7	-5	-14	-1	-11	-8	-12	-9	-14	-10	0	-7	-2	-10	-13	0	-4	-4	-11	-17
-19	-7	-11	-8	-12	1	-15	-10	-14	-18	-9	-20	-6	1	-17	-3	-1	-1	-3	-9	-9	-6	-5	-6	-16	-12	-12	-8	-14	-13	-1	-3	-4	-8	-5	-1	-12	-19	-17	-7	-5	-15	-3	-16	-14	-1	0	-18	-17	-2	-18	-5	-6	-5	1	-11	-11	-13	-3	-19	-1	-8	-3	-7	1	-3	-9	-2	-9	-6	-2	-19	-13	-18	-8	-2	-10	-2	-5	-4
-1	-15	-9	-2	-7	-4	-10	-1	-17	-11	0	-3	-16	-10	-3	0	1	-17	-20	-20	-1	1	-7	-10	-1	-17	-6	-3	-18	0	-16	-3	-1	-19	-11	-7	-12	-15	-11	0	1	-10	-10	0	-17	-8	-10	-1	-20	-5	-13	-9	0	-17	-12	0	-5	0	-12	-2	-2	-5	-16	-7	-7	-4	-7	-10	-9	-5	-4	-16	-14	-1	-16	-8	1	-9	-15	-16
-4	-16	-2	-14	-20	-18	-7	-12	-2	-13	-17	-9	-5	-12	-10	-13	-1	-20	0	-7	-9	-17	-20	-5	-16	-4	-5	-7	-9	-9	-8	-9	-5	-19	-18	-16	-4	-20	-7	-9	-10	-13	-5	-9	-4	-16	-5	-3	-10	-2	-10	-14	1	-1	-19	-3	1	-5	-16	-14	-4	-5	1	1	-20	-1	-20	-7	-18	-11	0	-6	-11	1	-4	-1	-7	-19	-4	-7
-7	-9	-7	-9	-12	-8	0	-8	-6	-18	-15	0	-1	-18	-9	-7	-4	-15	-14	-8	-18	-9	-16	-15	-2	-15	-8	-16	-2	-7	-19	-16	-1	1	-7	-19	-17	0	-10	1	-11	-7	-13	-18	-11	-11	-20	-10	-3	-9	-8	-16	-16	-11	-12	-2	0	-4	-14	-1	-19	-13	-17	-2	-17	1	-1	-17	-18	-14	-8	-18	-11	-1	-11	-2	-15	-13	-15	-13
-10	1	-3	-15	-17	-14	-19	-16	-9	-19	-14	-2	0	-17	-3	-13	-18	-11	-16	1	-5	-12	-12	-9	0	-8	-5	-10	-4	-18	-8	-9	0	-3	-2	-13	-16	-1	-6	-20	-6	-20	-5	-11	-19	-12	-12	-11	-12	-11	-12	-9	-5	-19	-4	-7	-4	-10	-14	-8	-3	-6	-4	-9	-10	-3	-20	-18	-19	-8	-1	-13	-4	-1	-11	-8	-8	-11	-15	-10
