-16376	-11842	-13004	
-16308	-12257	-12870	
-16246	-12392	-12668	
-16226	-12461	-12264	
-16196	-13255	-13148	
-16272	-11864	-13128	
-16266	-12214	-13458	
-15793	-13490	-13506	
-16101	-11991	-13526	
-15743	-13623	-13369	
-16011	-11391	-13630	
-15711	-13633	-13573	
-15625	-13691	-12216	
-16004	-12164	-13841	
-15535	-13704	-13775	
-15477	-13969	-13103	
-15914	-11564	-13945	
-15810	-11586	-14069	
-15332	-14167	-13575	
-15734	-12977	-14089	
-15710	-11870	-14413	
-15138	-14205	-14223	
-15113	-14248	-12861	
-15098	-14452	-13029	
-15512	-10730	-14577	
-14847	-14545	-14000	
-14651	-14556	-12041	
-14628	-14677	-13362	
-15437	-12376	-14720	
-14613	-14830	-13454	
-15142	-11882	-14839	
-14310	-14832	-13050	
-14167	-15038	-13102	
-15034	-12611	-15078	
-14143	-15055	-13787	
-14017	-15067	-12992	
-13993	-15084	-13677	
-14869	-12388	-15146	
-13909	-15340	-13241	
-16078	-12385	-13220	
-16002	-12677	-13376	
-14134	-12041	-15196	
-15996	-13027	-13706	
-15748	-12318	-13911	
-14112	-12680	-15300	
-15605	-13661	-13268	
-15852	-12296	-13787	
-15928	-13142	-13545	
-15844	-12511	-13722	
-15831	-12804	-13774	
-15888	-13228	-13334	
-15456	-12065	-14511	
-15699	-12426	-14337	
-15808	-13198	-13468	
-15452	-12172	-14552	
-15628	-13267	-13574	
-15566	-13542	-13815	
-13947	-12457	-15368	
-15577	-12986	-13891	
-15650	-12643	-14283	
-15378	-13713	-13577	
-15546	-12665	-14407	
-15363	-13854	-13431	
-15531	-13440	-13889	
-13759	-15369	-13131	
-15525	-13377	-13903	
-15476	-13014	-13975	
-15428	-13039	-14132	
-15451	-13370	-13969	
-15347	-13963	-13407	
-15349	-12860	-14182	
-13380	-15418	-12940	
-15360	-13154	-13971	
-15347	-13392	-14093	
-15331	-13212	-14447	
-13808	-12471	-15433	
-15346	-12434	-14416	
-15308	-13868	-13931	
-15254	-12680	-14451	
-15179	-12696	-14463	
-15304	-13492	-14198	
-15166	-12989	-14515	
-15020	-14273	-13070	
-14992	-14347	-13528	
-15147	-13735	-13965	
-15082	-12655	-14709	
-13136	-15544	-12345	
-15143	-13645	-13999	
-15302	-13410	-14229	
-15263	-13327	-14286	
-14886	-14375	-13223	
-15040	-12710	-14528	
-14995	-12742	-14580	
-15050	-13334	-14417	
-13654	-11744	-15558	
-14955	-13071	-14527	
-15048	-13605	-14327	
-14946	-13095	-14540	
-14901	-13727	-14556	
-14978	-12677	-14833	
-14856	-12756	-14645	
-14851	-12915	-14809	
-14944	-13627	-14451	
-14898	-14224	-13587	
-15044	-13712	-14368	
-14894	-14331	-13628	
-14850	-13134	-14596	
-14862	-14341	-13832	
-15046	-13818	-14314	
