3
35
[[[13, 8, 6, 2, 11, 4, 18, 9, 1, 8, 10, 20, 12, 18, 12, 15, 11, 4, 5, 9, 11, 18, 15, 18, 1, 6, 9, 19, 13, 7, 2, 5, 14, 7, 7],
[5, 10, 4, 14, 11, 12, 3, 10, 4, 1, 2, 18, 12, 6, 2, 1, 16, 20, 15, 14, 1, 20, 3, 20, 13, 10, 1, 17, 4, 8, 4, 8, 18, 8, 2],
[8, 19, 5, 18, 2, 6, 20, 19, 17, 5, 1, 17, 20, 1, 12, 14, 1, 12, 16, 20, 4, 5, 1, 1, 8, 8, 4, 16, 6, 12, 18, 14, 10, 3, 11],
[11, 8, 10, 10, 5, 14, 11, 2, 14, 11, 14, 8, 12, 5, 4, 11, 9, 9, 12, 9, 16, 20, 13, 12, 5, 4, 10, 18, 13, 12, 9, 4, 20, 19, 14],
[5, 13, 4, 7, 7, 15, 1, 14, 6, 5, 17, 16, 14, 5, 8, 3, 1, 7, 15, 13, 11, 19, 2, 9, 11, 14, 17, 15, 14, 16, 9, 18, 8, 12, 5],
[14, 6, 5, 7, 12, 10, 4, 8, 3, 9, 15, 5, 9, 2, 19, 2, 13, 17, 3, 1, 8, 17, 18, 3, 10, 13, 11, 8, 20, 3, 13, 14, 9, 17, 20],
[1, 6, 4, 8, 9, 12, 2, 13, 1, 3, 12, 2, 15, 9, 4, 16, 17, 1, 13, 20, 11, 6, 11, 18, 5, 14, 11, 18, 3, 7, 18, 3, 13, 2, 10],
[1, 13, 11, 14, 13, 14, 5, 14, 9, 14, 18, 4, 11, 18, 17, 10, 9, 2, 20, 7, 7, 14, 17, 4, 16, 3, 2, 18, 15, 3, 7, 16, 15, 18, 9],
[8, 12, 14, 1, 20, 7, 19, 3, 17, 17, 20, 7, 5, 1, 7, 11, 7, 20, 7, 11, 15, 10, 12, 12, 4, 15, 19, 20, 10, 16, 8, 17, 8, 1, 18],
[7, 8, 16, 10, 5, 12, 9, 11, 16, 9, 18, 6, 16, 17, 13, 6, 12, 2, 18, 4, 6, 12, 3, 5, 1, 18, 13, 18, 6, 13, 15, 12, 1, 11, 1],
[5, 2, 10, 16, 18, 19, 13, 4, 14, 10, 16, 19, 2, 18, 16, 5, 3, 8, 7, 8, 9, 5, 20, 6, 10, 13, 1, 2, 13, 12, 3, 18, 13, 12, 14],
[11, 10, 7, 14, 3, 17, 10, 2, 18, 8, 18, 2, 11, 5, 9, 18, 13, 14, 18, 19, 3, 10, 20, 5, 3, 11, 7, 1, 4, 18, 14, 14, 8, 1, 8],
[11, 17, 18, 12, 14, 5, 10, 16, 15, 14, 4, 12, 7, 18, 10, 6, 20, 19, 5, 5, 2, 16, 11, 2, 19, 9, 16, 12, 16, 17, 20, 6, 13, 17, 18],
[6, 1, 7, 2, 16, 1, 5, 7, 7, 2, 17, 12, 2, 15, 17, 7, 17, 12, 17, 19, 11, 5, 14, 2, 1, 10, 2, 6, 3, 18, 4, 8, 19, 10, 9],
[14, 10, 14, 1, 17, 16, 17, 9, 18, 12, 5, 4, 8, 17, 1, 6, 7, 5, 20, 9, 5, 10, 10, 11, 12, 8, 14, 20, 6, 4, 9, 20, 14, 3, 20],
[10, 18, 16, 18, 16, 7, 3, 19, 15, 20, 20, 20, 7, 4, 19, 16, 9, 9, 5, 20, 20, 13, 13, 19, 19, 17, 8, 18, 10, 10, 17, 19, 8, 13, 17],
[3, 20, 20, 2, 14, 20, 1, 13, 7, 5, 12, 2, 13, 20, 7, 12, 20, 19, 5, 19, 17, 1, 6, 15, 11, 16, 11, 9, 3, 4, 6, 5, 3, 6, 6],
[17, 6, 7, 9, 12, 11, 1, 13, 4, 1, 19, 15, 1, 18, 20, 19, 14, 20, 5, 9, 10, 20, 20, 19, 2, 3, 5, 6, 6, 11, 12, 2, 17, 18, 11],
[8, 9, 11, 1, 12, 12, 20, 7, 12, 17, 6, 10, 11, 6, 15, 19, 16, 14, 18, 15, 15, 20, 20, 1, 6, 11, 13, 7, 7, 11, 17, 15, 19, 8, 16],
[10, 20, 15, 17, 11, 11, 2, 1, 2, 7, 15, 20, 3, 9, 18, 17, 3, 18, 17, 4, 3, 7, 16, 9, 14, 6, 6, 8, 4, 14, 3, 14, 13, 18, 10],
[3, 8, 12, 4, 10, 19, 19, 9, 1, 7, 6, 18, 9, 3, 14, 12, 5, 1, 7, 14, 14, 13, 20, 1, 16, 13, 4, 10, 5, 1, 19, 7, 9, 10, 11],
[18, 8, 9, 7, 9, 15, 13, 6, 4, 15, 20, 16, 20, 20, 3, 14, 13, 15, 13, 14, 11, 5, 18, 20, 9, 19, 19, 16, 8, 8, 7, 6, 16, 15, 12],
[5, 10, 5, 10, 13, 20, 10, 8, 19, 9, 10, 13, 2, 5, 5, 16, 15, 10, 13, 14, 18, 12, 13, 14, 19, 1, 20, 5, 16, 15, 16, 1, 4, 1, 10],
[16, 20, 20, 4, 19, 8, 14, 11, 10, 18, 16, 5, 13, 5, 18, 7, 3, 9, 19, 17, 8, 19, 16, 12, 15, 10, 8, 15, 13, 8, 5, 9, 8, 4, 13],
[6, 12, 6, 16, 1, 4, 11, 6, 16, 16, 3, 2, 18, 12, 20, 14, 20, 19, 10, 11, 13, 20, 19, 7, 13, 7, 12, 1, 14, 15, 13, 19, 6, 19, 15],
[7, 2, 6, 12, 17, 1, 15, 18, 19, 6, 18, 12, 6, 16, 2, 16, 8, 1, 15, 15, 13, 1, 6, 14, 14, 1, 7, 13, 6, 5, 7, 13, 6, 12, 4],
[3, 13, 19, 1, 11, 5, 18, 3, 10, 13, 4, 6, 1, 5, 20, 16, 18, 1, 1, 11, 15, 1, 18, 7, 7, 2, 14, 19, 8, 6, 3, 11, 18, 2, 11],
[8, 6, 8, 11, 15, 1, 14, 1, 2, 19, 20, 17, 16, 1, 18, 7, 15, 19, 4, 2, 5, 6, 16, 4, 13, 1, 7, 4, 18, 8, 14, 6, 13, 2, 16],
[8, 3, 10, 9, 4, 9, 9, 1, 4, 9, 18, 10, 4, 16, 13, 5, 1, 18, 20, 4, 11, 20, 10, 14, 18, 18, 8, 4, 11, 9, 19, 19, 11, 9, 7],
