3
40
[[[17, 5, 1, 11, 12, 17, 18, 20, 4, 17, 15, 15, 10, 14, 3, 17, 12, 4, 16, 4, 8, 14, 2, 18, 17, 4, 17, 4, 9, 9, 18, 6, 13, 19, 16, 5, 15, 14, 5, 18],
[11, 20, 13, 20, 13, 15, 17, 5, 18, 12, 9, 6, 5, 10, 3, 1, 14, 20, 5, 3, 9, 2, 8, 2, 20, 4, 6, 15, 18, 10, 12, 8, 10, 4, 8, 2, 18, 4, 7, 16],
[15, 15, 1, 20, 5, 3, 20, 18, 3, 5, 20, 11, 6, 8, 12, 6, 11, 18, 1, 8, 8, 12, 16, 17, 16, 3, 18, 14, 7, 5, 9, 1, 19, 10, 20, 3, 13, 20, 20, 15],
[4, 20, 5, 10, 7, 17, 16, 17, 14, 16, 5, 1, 8, 20, 17, 4, 3, 15, 17, 9, 19, 6, 10, 18, 15, 9, 20, 8, 9, 20, 2, 13, 19, 7, 2, 5, 3, 17, 1, 17],
[13, 6, 17, 20, 6, 14, 3, 8, 8, 20, 17, 7, 6, 6, 4, 1, 15, 3, 8, 3, 3, 10, 15, 1, 16, 17, 5, 19, 13, 6, 15, 6, 12, 11, 5, 17, 4, 8, 5, 12],
[8, 1, 19, 14, 6, 2, 14, 20, 5, 2, 3, 7, 11, 18, 8, 6, 14, 12, 4, 7, 18, 18, 12, 9, 9, 17, 6, 13, 5, 10, 4, 12, 10, 2, 6, 16, 4, 19, 16, 9],
[1, 19, 15, 11, 16, 2, 17, 9, 14, 1, 15, 12, 19, 7, 20, 7, 3, 5, 19, 7, 15, 3, 19, 5, 5, 4, 20, 9, 3, 16, 17, 3, 14, 12, 13, 10, 13, 10, 18, 7],
[10, 13, 18, 8, 19, 18, 14, 2, 3, 13, 9, 17, 16, 7, 2, 1, 11, 2, 9, 14, 17, 5, 16, 11, 16, 9, 20, 9, 18, 18, 16, 8, 10, 13, 15, 9, 11, 9, 10, 13],
[2, 18, 10, 18, 5, 11, 18, 16, 12, 6, 9, 9, 11, 5, 19, 7, 13, 19, 15, 11, 17, 10, 18, 6, 3, 13, 15, 13, 2, 5, 6, 4, 2, 16, 1, 7, 6, 18, 2, 18],
[4, 10, 6, 14, 14, 5, 20, 7, 4, 15, 18, 20, 4, 16, 6, 7, 9, 20, 19, 10, 4, 5, 13, 6, 20, 14, 13, 6, 11, 14, 3, 15, 4, 9, 8, 18, 14, 8, 5, 17],
[2, 2, 16, 6, 18, 1, 12, 6, 1, 11, 16, 5, 16, 9, 11, 15, 2, 3, 20, 13, 17, 3, 7, 1, 11, 14, 19, 5, 2, 3, 1, 4, 5, 16, 9, 2, 17, 1, 8, 18],
[12, 3, 2, 7, 11, 12, 2, 12, 15, 2, 4, 11, 4, 10, 11, 15, 4, 9, 19, 6, 12, 20, 9, 17, 15, 18, 19, 12, 18, 6, 10, 9, 8, 11, 16, 19, 3, 17, 10, 17],
[19, 14, 7, 2, 4, 18, 17, 8, 7, 16, 13, 18, 15, 2, 14, 10, 19, 13, 1, 17, 18, 10, 6, 6, 1, 1, 4, 3, 18, 14, 20, 16, 8, 6, 18, 11, 4, 14, 19, 10],
[9, 12, 8, 4, 13, 2, 13, 11, 14, 14, 8, 11, 4, 13, 16, 4, 13, 20, 7, 11, 13, 6, 6, 20, 12, 3, 11, 16, 17, 9, 5, 6, 20, 12, 9, 13, 14, 1, 4, 7],
[14, 11, 17, 17, 3, 13, 1, 16, 13, 7, 6, 6, 13, 11, 5, 5, 14, 16, 20, 11, 5, 5, 16, 4, 17, 5, 17, 10, 6, 20, 16, 19, 11, 13, 16, 13, 6, 17, 8, 18],
