3
10
[[[5, 18, 12, 12, 20, 12, 16, 17, 13, 11],
[15, 17, 20, 11, 14, 5, 8, 18, 5, 6],
[13, 12, 1, 2, 7, 6, 4, 6, 14, 6],
[18, 18, 4, 9, 10, 4, 1, 6, 20, 13],
[16, 15, 10, 16, 5, 4, 1, 13, 1, 5],
[19, 13, 17, 19, 14, 3, 5, 18, 8, 18],
[4, 5, 16, 7, 13, 6, 11, 14, 11, 10],
[6, 7, 5, 15, 3, 9, 19, 3, 2, 19],
[8, 20, 12, 4, 19, 5, 6, 3, 3, 13],
[1, 6, 18, 17, 13, 11, 2, 3, 4, 13]]
,
[[12, 10, 20, 16, 5, 2, 5, 3, 4, 7],
[2, 11, 7, 13, 15, 5, 17, 20, 8, 19],
[13, 9, 5, 10, 5, 17, 1, 7, 19, 4],
[20, 11, 14, 19, 7, 18, 20, 12, 1, 4],
[18, 2, 14, 4, 14, 8, 9, 11, 8, 17],
[10, 20, 5, 14, 10, 10, 10, 11, 17, 9],
[15, 16, 19, 8, 14, 6, 6, 14, 17, 6],
[17, 15, 7, 11, 19, 1, 19, 8, 11, 7],
[4, 20, 7, 8, 14, 17, 18, 3, 7, 14],
[12, 1, 9, 11, 9, 3, 16, 14, 17, 13]]
,
[[20, 14, 8, 7, 4, 6, 7, 3, 13, 18],
[10, 17, 18, 16, 4, 11, 12, 1, 14, 18],
[14, 5, 19, 3, 16, 7, 5, 12, 20, 1],
[4, 20, 14, 12, 6, 18, 18, 12, 1, 10],
[10, 10, 6, 7, 5, 10, 17, 17, 11, 10],
[14, 5, 15, 13, 7, 10, 19, 12, 1, 19],
[13, 5, 18, 6, 17, 3, 4, 14, 15, 5],
[4, 4, 14, 9, 10, 19, 19, 6, 15, 9],
[16, 9, 14, 11, 1, 20, 1, 19, 11, 2],
[18, 3, 7, 15, 9, 3, 18, 13, 16, 12]]
]
