3
10
[[[20, 6, 3, 14, 1, 5, 13, 4, 7, 12],
[1, 14, 1, 12, 20, 11, 18, 17, 11, 14],
[6, 4, 3, 4, 5, 4, 11, 14, 20, 5],
[18, 20, 10, 1, 13, 11, 5, 6, 14, 11],
[17, 15, 5, 18, 6, 4, 9, 3, 20, 20],
[17, 6, 4, 19, 10, 8, 2, 20, 1, 2],
[4, 18, 1, 14, 18, 14, 5, 3, 19, 18],
[14, 16, 13, 18, 13, 19, 1, 1, 1, 1],
[20, 17, 6, 3, 16, 15, 10, 18, 14, 11],
[19, 18, 8, 19, 12, 6, 12, 16, 9, 11]]
,
[[14, 2, 6, 6, 19, 18, 4, 20, 18, 5],
[1, 18, 2, 6, 20, 17, 1, 10, 14, 14],
[20, 12, 12, 8, 11, 3, 14, 2, 18, 2],
[13, 11, 4, 18, 17, 3, 15, 20, 2, 13],
[4, 2, 11, 6, 8, 11, 2, 8, 20, 16],
[2, 20, 7, 13, 8, 18, 16, 1, 20, 14],
[3, 12, 5, 6, 9, 1, 8, 4, 1, 10],
[16, 5, 12, 7, 10, 19, 17, 12, 7, 17],
[7, 8, 16, 14, 1, 3, 11, 17, 4, 10],
[11, 6, 2, 15, 11, 10, 16, 18, 13, 16]]
,
[[8, 9, 1, 19, 16, 10, 17, 12, 2, 3],
[8, 8, 11, 4, 1, 12, 7, 12, 8, 10],
[2, 18, 16, 3, 13, 6, 12, 8, 4, 5],
[4, 11, 14, 4, 9, 9, 14, 6, 1, 15],
[9, 8, 3, 19, 11, 4, 11, 17, 15, 18],
[7, 16, 16, 2, 18, 8, 8, 10, 16, 12],
[15, 20, 3, 8, 4, 12, 17, 17, 17, 17],
[12, 5, 4, 15, 4, 15, 18, 14, 12, 13],
[12, 19, 8, 7, 20, 6, 15, 8, 15, 11],
[19, 9, 10, 1, 17, 13, 12, 14, 10, 9]]
]
