3
45
[[[20, 14, 9, 5, 5, 20, 9, 4, 10, 10, 8, 6, 9, 3, 9, 19, 17, 2, 11, 5, 1, 11, 20, 12, 13, 11, 10, 8, 6, 19, 15, 6, 12, 4, 10, 17, 3, 19, 1, 13, 8, 8, 18, 17, 10],
[6, 15, 7, 8, 6, 12, 9, 16, 11, 20, 9, 1, 9, 16, 7, 7, 11, 12, 19, 15, 2, 15, 18, 20, 15, 10, 8, 3, 7, 4, 13, 13, 19, 20, 20, 5, 11, 9, 20, 2, 8, 9, 2, 16, 4],
[9, 2, 15, 20, 20, 9, 1, 15, 6, 1, 9, 15, 8, 12, 1, 12, 4, 13, 11, 3, 13, 15, 14, 1, 15, 15, 8, 3, 17, 3, 7, 5, 5, 1, 5, 4, 10, 6, 19, 15, 6, 7, 9, 14, 19],
[10, 6, 3, 3, 16, 6, 15, 11, 19, 16, 5, 13, 4, 7, 9, 6, 14, 14, 11, 14, 18, 15, 3, 3, 13, 18, 9, 20, 7, 3, 18, 16, 8, 20, 18, 4, 5, 13, 14, 4, 8, 18, 16, 11, 5],
[5, 17, 18, 18, 7, 12, 15, 1, 15, 18, 13, 12, 6, 13, 18, 8, 10, 14, 16, 10, 12, 19, 15, 4, 12, 18, 12, 10, 14, 3, 14, 19, 19, 12, 16, 6, 3, 11, 7, 18, 8, 20, 9, 14, 12],
[7, 1, 2, 1, 16, 11, 12, 15, 5, 16, 6, 3, 7, 15, 16, 9, 9, 14, 8, 1, 10, 14, 4, 1, 1, 1, 8, 20, 10, 2, 12, 17, 3, 13, 17, 19, 3, 9, 13, 8, 4, 19, 10, 11, 14],
[6, 20, 2, 20, 7, 2, 10, 1, 6, 10, 1, 6, 18, 1, 15, 19, 12, 12, 1, 5, 8, 19, 8, 16, 12, 15, 20, 10, 5, 10, 3, 11, 10, 4, 10, 17, 6, 20, 17, 11, 9, 18, 17, 6, 18],
[12, 4, 10, 3, 5, 14, 10, 4, 1, 6, 15, 16, 6, 4, 1, 16, 6, 11, 5, 10, 1, 1, 16, 20, 18, 7, 8, 15, 3, 14, 12, 14, 18, 1, 16, 2, 15, 6, 5, 15, 12, 19, 11, 17, 3],
[11, 12, 8, 1, 17, 18, 2, 17, 13, 1, 15, 19, 9, 9, 1, 2, 1, 15, 20, 2, 11, 1, 16, 16, 6, 11, 7, 5, 1, 4, 7, 12, 16, 14, 13, 12, 11, 14, 9, 4, 15, 3, 2, 4, 12],
[3, 6, 12, 18, 5, 13, 8, 5, 9, 3, 11, 19, 10, 15, 20, 13, 1, 12, 8, 15, 4, 20, 6, 18, 8, 9, 12, 11, 10, 16, 2, 13, 1, 14, 10, 6, 6, 17, 10, 15, 20, 20, 13, 9, 15],
[13, 1, 15, 5, 9, 9, 8, 8, 14, 6, 16, 2, 18, 6, 12, 13, 8, 5, 14, 1, 14, 19, 7, 11, 9, 1, 10, 9, 14, 19, 3, 7, 19, 17, 11, 8, 6, 19, 16, 19, 4, 11, 1, 1, 17],
[13, 13, 4, 17, 7, 5, 11, 5, 11, 1, 13, 11, 11, 1, 5, 9, 3, 11, 8, 20, 1, 15, 5, 19, 10, 4, 2, 1, 5, 3, 17, 17, 16, 1, 14, 2, 5, 4, 6, 16, 5, 18, 7, 15, 19],
[11, 4, 2, 1, 11, 1, 1, 6, 6, 20, 15, 9, 2, 16, 14, 4, 12, 10, 20, 12, 4, 1, 17, 7, 6, 12, 12, 4, 19, 7, 3, 9, 10, 4, 9, 20, 5, 10, 5, 10, 10, 20, 19, 11, 15],
[12, 15, 7, 2, 14, 19, 5, 15, 16, 12, 1, 8, 3, 4, 6, 9, 7, 14, 18, 11, 2, 18, 15, 12, 3, 5, 1, 3, 4, 12, 18, 16, 7, 4, 17, 1, 3, 2, 15, 18, 13, 15, 5, 16, 19],
[10, 5, 5, 3, 2, 15, 5, 20, 10, 17, 2, 14, 17, 5, 17, 9, 2, 12, 15, 6, 9, 15, 8, 10, 9, 5, 3, 4, 9, 19, 2, 19, 3, 7, 2, 5, 1, 6, 4, 11, 2, 6, 4, 19, 10],
[1, 7, 12, 13, 1, 17, 1, 16, 4, 11, 4, 9, 14, 8, 18, 12, 9, 16, 15, 15, 17, 19, 16, 3, 2, 6, 5, 8, 10, 3, 18, 10, 9, 9, 2, 10, 5, 3, 6, 9, 14, 10, 18, 7, 17],
[15, 19, 5, 11, 13, 20, 8, 11, 15, 10, 13, 20, 15, 20, 10, 17, 18, 19, 6, 6, 1, 16, 11, 3, 1, 20, 16, 10, 17, 2, 6, 11, 1, 11, 2, 13, 10, 10, 4, 5, 19, 17, 5, 14, 16],
[14, 10, 13, 12, 16, 19, 12, 11, 9, 15, 12, 8, 10, 1, 4, 12, 7, 15, 12, 17, 17, 5, 7, 6, 9, 11, 5, 5, 16, 18, 1, 9, 8, 13, 20, 3, 12, 12, 13, 20, 6, 5, 8, 16, 5],
[12, 7, 12, 7, 19, 9, 4, 4, 15, 9, 12, 6, 14, 16, 1, 11, 16, 9, 19, 9, 9, 1, 20, 1, 14, 20, 6, 18, 8, 2, 3, 19, 8, 14, 6, 7, 2, 9, 10, 16, 18, 1, 2, 11, 16],
[2, 2, 12, 11, 20, 20, 19, 20, 20, 19, 14, 19, 5, 11, 7, 7, 14, 6, 14, 7, 11, 1, 8, 20, 10, 4, 17, 11, 5, 8, 7, 7, 9, 18, 17, 9, 17, 16, 9, 16, 15, 2, 15, 19, 13],
[1, 5, 6, 6, 19, 13, 17, 20, 20, 16, 9, 4, 13, 19, 8, 20, 5, 15, 9, 3, 11, 17, 19, 6, 5, 15, 20, 7, 9, 19, 19, 10, 4, 5, 15, 3, 17, 11, 2, 17, 7, 11, 20, 19, 10],
[8, 18, 15, 2, 6, 17, 13, 3, 16, 19, 7, 10, 19, 13, 19, 17, 12, 8, 1, 17, 3, 4, 13, 13, 5, 10, 19, 16, 9, 18, 5, 17, 15, 19, 19, 1, 16, 11, 3, 11, 9, 10, 20, 8, 3],
[19, 5, 15, 6, 5, 11, 8, 8, 4, 1, 13, 13, 20, 9, 2, 17, 13, 18, 11, 12, 16, 12, 7, 7, 14, 18, 16, 4, 17, 3, 6, 15, 7, 20, 1, 11, 10, 9, 19, 13, 9, 12, 6, 8, 20],
[7, 5, 13, 4, 16, 4, 19, 7, 11, 6, 1, 8, 1, 4, 5, 3, 10, 20, 9, 9, 20, 20, 19, 9, 19, 12, 17, 11, 17, 5, 10, 4, 10, 2, 7, 5, 6, 6, 12, 17, 11, 12, 5, 11, 16],
[9, 14, 5, 8, 2, 14, 8, 2, 13, 16, 20, 5, 13, 10, 2, 18, 20, 5, 7, 2, 12, 11, 8, 17, 2, 4, 8, 14, 8, 19, 10, 17, 12, 15, 4, 14, 8, 12, 15, 1, 8, 15, 6, 1, 4],
[7, 18, 4, 11, 5, 5, 3, 15, 12, 19, 17, 16, 7, 11, 3, 6, 20, 19, 17, 14, 3, 11, 2, 15, 5, 3, 3, 19, 8, 3, 3, 14, 1, 6, 5, 5, 11, 7, 20, 2, 6, 16, 18, 12, 7],
