3
10
[[[12, 13, 11, 4, 17, 4, 12, 9, 1, 7],
[2, 2, 20, 20, 18, 2, 6, 2, 18, 12],
[14, 20, 20, 3, 5, 5, 1, 18, 7, 11],
[12, 18, 3, 2, 2, 20, 5, 14, 8, 6],
[20, 9, 8, 20, 9, 5, 1, 14, 7, 18],
[6, 20, 18, 5, 3, 2, 9, 3, 20, 16],
[14, 11, 14, 17, 12, 15, 16, 17, 9, 4],
[2, 8, 13, 10, 7, 1, 14, 7, 15, 1],
[5, 20, 20, 3, 5, 3, 4, 13, 5, 4],
[9, 19, 14, 2, 15, 6, 17, 11, 2, 5]]
,
[[14, 4, 12, 7, 13, 19, 7, 7, 6, 2],
[7, 11, 2, 7, 13, 6, 9, 16, 19, 14],
[20, 7, 12, 13, 9, 7, 18, 5, 17, 20],
[9, 11, 4, 1, 17, 16, 20, 4, 3, 5],
[6, 9, 15, 7, 15, 7, 13, 4, 3, 12],
[17, 2, 19, 9, 15, 7, 15, 13, 11, 12],
[12, 20, 3, 16, 20, 20, 12, 19, 4, 14],
[4, 9, 3, 18, 16, 18, 5, 9, 1, 8],
[20, 18, 9, 18, 6, 4, 5, 1, 16, 15],
[13, 8, 15, 16, 3, 15, 16, 14, 14, 19]]
,
[[8, 17, 8, 10, 15, 4, 8, 19, 12, 8],
[6, 12, 6, 15, 10, 12, 19, 14, 12, 14],
[9, 5, 2, 3, 1, 4, 18, 16, 18, 11],
[14, 6, 7, 2, 15, 1, 5, 2, 20, 17],
[10, 6, 8, 15, 1, 18, 6, 19, 12, 18],
[13, 20, 3, 14, 3, 3, 17, 20, 18, 15],
[10, 12, 20, 17, 13, 15, 18, 17, 17, 18],
[13, 7, 3, 1, 2, 4, 18, 7, 2, 9],
[5, 14, 9, 7, 7, 12, 10, 4, 12, 7],
[19, 2, 19, 19, 18, 11, 14, 16, 7, 10]]
]
