3
15
[[[18, 5, 17, 4, 2, 6, 5, 16, 15, 19, 5, 17, 3, 20, 17],
[1, 20, 3, 11, 6, 5, 11, 7, 1, 9, 3, 5, 7, 9, 16],
[2, 6, 1, 19, 10, 2, 5, 14, 18, 19, 12, 3, 15, 15, 2],
[12, 15, 1, 14, 6, 7, 18, 17, 14, 19, 5, 17, 4, 12, 5],
[19, 14, 10, 19, 12, 20, 1, 16, 14, 18, 14, 5, 1, 9, 20],
[2, 20, 14, 3, 14, 20, 10, 12, 16, 4, 10, 1, 20, 14, 12],
[4, 12, 5, 14, 11, 17, 14, 11, 12, 7, 9, 6, 11, 10, 15],
[11, 12, 15, 5, 15, 8, 4, 4, 19, 20, 8, 9, 20, 7, 2],
[12, 11, 14, 17, 5, 4, 13, 18, 15, 5, 4, 4, 10, 15, 13],
[5, 5, 4, 19, 9, 18, 6, 13, 2, 5, 12, 9, 14, 12, 15],
[16, 3, 6, 9, 19, 10, 13, 12, 7, 7, 16, 11, 10, 6, 5],
[3, 10, 10, 6, 8, 19, 3, 14, 11, 4, 18, 3, 13, 12, 15],
[8, 7, 18, 13, 16, 16, 2, 9, 8, 9, 15, 3, 19, 5, 8],
[4, 7, 17, 13, 13, 5, 12, 15, 18, 3, 19, 16, 6, 12, 8],
[20, 19, 14, 17, 12, 10, 13, 13, 18, 20, 2, 13, 3, 1, 18]]
,
[[10, 4, 5, 7, 17, 17, 12, 8, 12, 9, 10, 10, 5, 16, 1],
[12, 15, 20, 6, 11, 11, 16, 4, 4, 13, 4, 5, 6, 6, 6],
[3, 15, 10, 7, 2, 6, 3, 13, 14, 14, 2, 4, 4, 7, 19],
[5, 18, 14, 4, 4, 5, 14, 19, 8, 18, 12, 11, 3, 17, 16],
[8, 19, 11, 17, 6, 13, 3, 8, 5, 17, 2, 7, 1, 5, 13],
[19, 9, 11, 13, 13, 15, 17, 7, 13, 4, 4, 5, 15, 6, 1],
[11, 14, 20, 1, 10, 5, 13, 13, 12, 18, 9, 13, 5, 9, 18],
[17, 8, 7, 8, 1, 19, 2, 17, 5, 14, 1, 9, 18, 15, 14],
[19, 5, 8, 18, 6, 17, 2, 19, 10, 14, 17, 19, 6, 1, 8],
[4, 18, 15, 10, 5, 15, 9, 6, 12, 13, 20, 12, 2, 18, 6],
[16, 16, 11, 3, 14, 17, 20, 15, 15, 9, 8, 11, 7, 14, 11],
[14, 18, 8, 9, 7, 13, 4, 16, 18, 15, 9, 18, 7, 10, 15],
[12, 5, 11, 3, 7, 5, 19, 6, 19, 14, 15, 7, 4, 1, 1],
[15, 15, 19, 3, 3, 5, 15, 7, 1, 12, 1, 9, 9, 7, 18],
[4, 19, 2, 15, 2, 9, 19, 20, 15, 18, 13, 10, 5, 17, 10]]
,
[[5, 11, 5, 3, 13, 7, 8, 7, 13, 8, 19, 14, 16, 8, 1],
[14, 12, 19, 16, 6, 20, 5, 5, 20, 19, 2, 13, 9, 6, 9],
[19, 11, 20, 3, 14, 13, 9, 1, 20, 2, 9, 18, 16, 5, 6],
[16, 19, 17, 15, 14, 3, 15, 18, 7, 14, 17, 8, 7, 5, 14],
[16, 3, 4, 15, 5, 17, 8, 14, 18, 7, 16, 6, 5, 11, 11],
[10, 6, 9, 7, 1, 2, 10, 15, 20, 16, 9, 16, 4, 15, 20],
[17, 10, 3, 20, 5, 7, 16, 12, 1, 13, 19, 16, 19, 3, 6],
[10, 13, 12, 18, 20, 12, 20, 9, 7, 19, 5, 15, 15, 8, 9],
[15, 5, 19, 17, 4, 4, 3, 20, 15, 3, 13, 14, 19, 11, 16],
[5, 1, 9, 17, 19, 8, 9, 18, 17, 15, 17, 1, 9, 12, 9],
[18, 6, 13, 16, 2, 17, 19, 5, 16, 14, 8, 9, 7, 6, 20],
[3, 10, 20, 11, 6, 18, 19, 14, 16, 15, 8, 12, 15, 17, 3],
[3, 14, 9, 15, 9, 10, 12, 8, 15, 7, 1, 2, 15, 8, 7],
[15, 10, 17, 14, 1, 3, 11, 19, 16, 6, 14, 4, 18, 8, 1],
[1, 11, 14, 9, 5, 3, 19, 16, 11, 13, 3, 11, 15, 18, 19]]
]
