3
20
[[[10, 17, 20, 13, 13, 5, 10, 12, 20, 15, 4, 3, 5, 16, 20, 14, 14, 11, 5, 2],
[10, 5, 10, 15, 16, 5, 14, 3, 2, 19, 7, 12, 15, 6, 4, 8, 11, 14, 19, 10],
[8, 3, 12, 12, 18, 11, 6, 11, 2, 11, 13, 12, 15, 3, 7, 11, 7, 20, 14, 9],
[19, 1, 1, 13, 7, 5, 1, 17, 18, 19, 7, 5, 1, 18, 16, 19, 9, 2, 10, 11],
[12, 3, 2, 7, 5, 8, 18, 12, 8, 12, 20, 6, 12, 20, 19, 18, 4, 19, 15, 1],
[18, 1, 6, 18, 19, 2, 17, 8, 3, 7, 18, 15, 9, 20, 2, 14, 7, 19, 5, 14],
[10, 5, 20, 2, 4, 18, 20, 8, 17, 14, 9, 14, 14, 14, 12, 12, 15, 8, 20, 18],
[15, 17, 12, 4, 16, 13, 17, 3, 11, 2, 17, 1, 6, 16, 3, 10, 14, 2, 17, 10],
[15, 5, 3, 8, 19, 15, 20, 13, 2, 19, 11, 17, 16, 2, 20, 12, 14, 17, 15, 5],
[18, 11, 6, 4, 7, 8, 13, 1, 9, 9, 10, 4, 14, 13, 12, 12, 7, 11, 5, 9],
[10, 15, 6, 6, 16, 5, 18, 10, 2, 12, 15, 19, 3, 1, 2, 9, 9, 14, 9, 18],
[3, 19, 1, 16, 12, 12, 8, 19, 3, 12, 8, 13, 6, 13, 18, 2, 18, 15, 12, 19],
[7, 7, 18, 9, 8, 19, 18, 16, 13, 6, 13, 16, 5, 13, 11, 17, 4, 18, 15, 6],
[10, 2, 18, 16, 14, 16, 17, 12, 11, 9, 10, 17, 15, 7, 6, 2, 6, 3, 18, 19],
[9, 10, 14, 14, 3, 5, 10, 7, 2, 4, 12, 12, 6, 10, 7, 20, 6, 3, 11, 16],
[12, 20, 13, 7, 7, 19, 9, 12, 1, 6, 10, 9, 16, 4, 2, 18, 8, 12, 4, 9],
[15, 16, 1, 20, 6, 7, 19, 11, 10, 9, 7, 1, 9, 19, 7, 15, 17, 15, 7, 18],
[1, 16, 7, 16, 19, 9, 13, 6, 20, 17, 15, 14, 12, 15, 14, 17, 1, 13, 8, 11],
[1, 14, 11, 10, 13, 18, 4, 10, 12, 10, 7, 13, 6, 13, 8, 5, 1, 1, 10, 1],
[18, 5, 15, 9, 20, 8, 6, 1, 20, 13, 11, 1, 7, 1, 10, 19, 19, 14, 8, 11]]
,
[[3, 14, 3, 9, 7, 11, 13, 8, 11, 3, 8, 8, 8, 2, 17, 7, 10, 3, 7, 10],
[15, 18, 10, 2, 19, 20, 20, 17, 13, 7, 7, 16, 1, 9, 4, 7, 19, 17, 14, 10],
[19, 2, 18, 6, 4, 15, 12, 13, 17, 19, 3, 12, 17, 12, 13, 15, 12, 12, 11, 4],
[19, 18, 20, 20, 7, 4, 6, 6, 20, 20, 16, 18, 2, 13, 4, 5, 7, 15, 18, 4],
[14, 20, 15, 10, 12, 8, 5, 4, 20, 16, 8, 19, 13, 7, 18, 20, 10, 3, 5, 10],
[3, 20, 7, 4, 13, 11, 9, 20, 6, 7, 3, 19, 7, 18, 9, 19, 5, 13, 2, 5],
[9, 9, 3, 1, 15, 20, 1, 5, 3, 5, 14, 6, 4, 1, 10, 16, 11, 19, 15, 16],
[5, 18, 15, 11, 15, 4, 9, 20, 17, 10, 5, 5, 19, 7, 6, 14, 7, 6, 18, 10],
[10, 12, 15, 14, 13, 5, 10, 4, 3, 5, 20, 7, 2, 15, 18, 17, 18, 6, 17, 14],
[16, 2, 19, 14, 9, 4, 7, 15, 10, 5, 5, 20, 17, 20, 13, 10, 4, 3, 13, 6],
[7, 13, 12, 9, 7, 10, 6, 4, 15, 3, 18, 11, 4, 16, 5, 13, 20, 12, 7, 9],
[16, 12, 9, 13, 11, 1, 2, 14, 4, 15, 19, 11, 7, 11, 20, 13, 20, 5, 16, 15],
[8, 13, 6, 12, 9, 10, 4, 8, 2, 11, 17, 18, 2, 5, 10, 12, 6, 11, 6, 9],
[5, 4, 19, 11, 15, 19, 4, 15, 3, 19, 10, 11, 12, 15, 3, 20, 5, 6, 8, 6],
[17, 5, 3, 18, 9, 12, 10, 15, 3, 15, 3, 8, 19, 2, 19, 13, 20, 2, 8, 3],
[20, 17, 14, 12, 11, 16, 12, 15, 2, 20, 1, 18, 4, 3, 16, 12, 14, 5, 6, 17],
[20, 9, 4, 18, 11, 2, 11, 11, 3, 19, 13, 3, 15, 6, 15, 6, 2, 6, 1, 3],
[5, 1, 1, 9, 3, 16, 1, 17, 1, 7, 13, 1, 15, 16, 19, 6, 18, 10, 16, 1],
[8, 9, 4, 3, 15, 18, 8, 16, 4, 8, 19, 9, 9, 19, 17, 11, 15, 17, 7, 16],
[4, 20, 16, 19, 15, 14, 4, 13, 4, 19, 13, 11, 7, 16, 13, 1, 14, 1, 17, 17]]
,
[[8, 15, 5, 16, 14, 1, 7, 9, 18, 14, 4, 1, 13, 20, 19, 7, 14, 3, 20, 17],
[1, 12, 8, 8, 8, 20, 9, 1, 20, 6, 17, 8, 20, 2, 4, 14, 3, 10, 2, 20],
[4, 6, 1, 16, 6, 20, 2, 19, 2, 2, 16, 3, 13, 3, 11, 1, 3, 19, 2, 3],
[4, 19, 11, 4, 20, 14, 18, 2, 4, 20, 2, 7, 6, 2, 2, 11, 2, 4, 10, 3],
[5, 5, 5, 18, 8, 15, 19, 11, 14, 20, 13, 18, 18, 3, 2, 17, 17, 19, 19, 1],
[18, 20, 7, 4, 2, 9, 14, 3, 13, 3, 5, 18, 8, 10, 16, 16, 5, 14, 6, 19],
[13, 19, 17, 11, 2, 18, 7, 18, 17, 5, 19, 15, 5, 6, 18, 6, 14, 11, 9, 7],
[14, 14, 4, 1, 4, 19, 17, 9, 12, 2, 7, 5, 1, 3, 15, 2, 1, 2, 20, 17],
[7, 18, 11, 11, 4, 8, 17, 18, 18, 6, 4, 12, 19, 7, 13, 2, 6, 9, 11, 18],
[11, 17, 2, 11, 20, 17, 13, 20, 18, 12, 16, 5, 10, 6, 16, 14, 14, 13, 11, 12],
