3
15
[[[13, 2, 12, 18, 1, 19, 15, 15, 5, 6, 8, 5, 11, 6, 2],
[13, 13, 17, 3, 15, 4, 3, 2, 3, 6, 10, 18, 15, 12, 1],
[13, 4, 2, 5, 2, 2, 3, 16, 17, 7, 2, 5, 12, 12, 11],
[14, 5, 4, 11, 8, 18, 14, 10, 19, 17, 16, 9, 14, 10, 1],
[14, 2, 4, 16, 7, 6, 18, 9, 2, 15, 16, 3, 19, 8, 15],
[10, 1, 19, 13, 11, 7, 11, 5, 17, 10, 1, 12, 18, 15, 1],
[19, 9, 3, 3, 4, 9, 8, 2, 17, 9, 16, 13, 11, 15, 20],
[5, 4, 20, 4, 17, 10, 10, 7, 15, 6, 16, 16, 17, 14, 10],
[18, 12, 18, 20, 14, 2, 9, 1, 3, 6, 10, 18, 18, 1, 12],
[17, 6, 16, 17, 9, 12, 6, 19, 19, 1, 4, 14, 16, 1, 8],
[5, 19, 19, 3, 18, 12, 4, 6, 13, 6, 11, 3, 4, 9, 3],
[16, 5, 8, 11, 1, 16, 3, 7, 15, 2, 7, 19, 16, 3, 19],
[3, 8, 17, 1, 10, 15, 13, 13, 1, 6, 19, 12, 8, 2, 20],
[10, 18, 5, 17, 8, 5, 13, 11, 12, 7, 12, 19, 6, 7, 1],
[4, 10, 8, 1, 10, 18, 16, 3, 10, 16, 8, 9, 8, 16, 11]]
,
[[8, 5, 8, 12, 2, 16, 17, 15, 7, 8, 2, 19, 6, 7, 6],
[7, 11, 15, 14, 11, 5, 11, 7, 7, 1, 3, 14, 10, 10, 10],
[20, 17, 14, 8, 9, 16, 3, 5, 10, 9, 12, 12, 8, 18, 18],
[13, 4, 8, 7, 18, 19, 11, 9, 6, 17, 10, 8, 11, 19, 17],
[20, 19, 14, 14, 6, 2, 10, 9, 6, 19, 18, 18, 11, 5, 15],
[8, 17, 19, 16, 4, 17, 15, 14, 5, 20, 11, 15, 8, 2, 13],
[5, 2, 12, 19, 16, 18, 20, 5, 6, 6, 4, 4, 3, 14, 8],
[18, 2, 5, 17, 17, 9, 13, 12, 2, 18, 12, 13, 12, 19, 14],
[5, 4, 16, 16, 2, 11, 14, 1, 15, 20, 7, 18, 3, 10, 11],
[11, 8, 12, 16, 4, 9, 4, 17, 1, 6, 14, 12, 18, 5, 11],
[12, 10, 15, 7, 5, 16, 17, 18, 17, 12, 17, 3, 9, 20, 13],
[19, 10, 20, 11, 6, 4, 19, 9, 20, 19, 14, 14, 11, 12, 19],
[2, 3, 8, 16, 10, 13, 11, 6, 11, 8, 17, 7, 10, 6, 7],
[3, 5, 17, 3, 15, 2, 6, 14, 10, 6, 13, 3, 19, 4, 14],
[17, 5, 17, 5, 1, 6, 17, 12, 12, 7, 19, 9, 14, 9, 14]]
,
[[20, 11, 19, 16, 13, 13, 17, 19, 7, 7, 4, 20, 10, 3, 3],
[3, 19, 8, 20, 3, 8, 5, 20, 19, 16, 6, 17, 5, 19, 5],
[19, 19, 15, 17, 14, 8, 9, 11, 6, 16, 17, 9, 15, 6, 11],
[17, 9, 10, 4, 8, 13, 12, 13, 12, 10, 9, 18, 6, 13, 17],
[11, 11, 15, 6, 7, 9, 13, 16, 20, 19, 11, 16, 8, 6, 2],
[18, 2, 11, 8, 6, 19, 1, 17, 11, 12, 6, 20, 10, 12, 13],
[6, 3, 4, 20, 8, 11, 9, 1, 6, 8, 19, 17, 4, 6, 3],
[5, 4, 4, 16, 11, 10, 14, 11, 6, 5, 3, 12, 5, 12, 4],
[17, 18, 6, 20, 18, 13, 11, 6, 14, 17, 14, 12, 13, 17, 18],
[16, 2, 1, 19, 17, 12, 9, 11, 2, 14, 15, 5, 6, 20, 17],
[9, 16, 14, 15, 16, 12, 8, 7, 18, 1, 3, 11, 12, 16, 7],
[10, 11, 9, 10, 9, 5, 1, 18, 15, 3, 11, 10, 7, 17, 10],
[3, 6, 6, 17, 20, 1, 9, 7, 7, 6, 7, 10, 16, 19, 5],
[3, 8, 15, 11, 18, 4, 15, 18, 1, 10, 1, 12, 20, 7, 8],
[9, 10, 13, 15, 7, 13, 15, 15, 19, 2, 20, 6, 11, 16, 5]]
]
