44.5177 , 40
44.5188 , 39
44.5263 , 38
44.5327 , 37
44.5598 , 36
44.5873 , 35
44.6658 , 34
44.7315 , 33
44.891 , 32
44.9587 , 31
45.0684 , 30
45.5795 , 29
45.8879 , 28
46.123 , 27
46.6956 , 26
47.2228 , 25
47.8228 , 24
48.4604 , 23
48.9333 , 22
49.5097 , 21
50.1101 , 20
50.9274 , 19
52.0051 , 18
53.1694 , 17
54.3506 , 16
55.982 , 15
57.3629 , 14
60.0372 , 13
76.6549 , 12
115.404 , 11
215.657 , 10
901.273 , 9
1304.28 , 8
1611.83 , 7
1918.88 , 6
2179.77 , 5
2746.07 , 4
3161.77 , 3
3464.29 , 2
4022.52 , 1
4748.2 , 0
--------------------------
Total Number of NDPs: 42
Time (Sec.): 385.494
