65.1295 , 40
65.1417 , 39
65.1515 , 38
65.1741 , 37
65.2018 , 36
65.2655 , 35
65.3387 , 34
65.4499 , 33
65.5686 , 32
65.7361 , 31
65.9313 , 30
66.2539 , 29
66.5747 , 28
66.8271 , 27
67.1795 , 26
67.5616 , 25
68.069 , 24
68.4892 , 23
68.6783 , 22
69.3246 , 21
70.1487 , 20
70.8365 , 19
71.6667 , 18
72.5839 , 17
73.4013 , 16
75.3924 , 15
77.8281 , 14
80.4032 , 13
86.5385 , 12
405.164 , 11
738.146 , 10
985.296 , 9
1252.74 , 8
1486.91 , 7
1720.6 , 6
2455.39 , 5
2940.2 , 4
3555.16 , 3
4316.85 , 2
4928.47 , 1
6049.7 , 0
--------------------------
Total Number of NDPs: 42
Time (Sec.): 312.965
