68.5806 , 40
68.5816 , 39
68.5842 , 38
68.5869 , 37
68.6023 , 36
68.6246 , 35
68.6729 , 34
68.834 , 33
69.0796 , 32
69.2838 , 31
69.4167 , 30
69.6639 , 29
69.8596 , 28
69.9346 , 27
70.4162 , 26
70.5473 , 25
70.9566 , 24
71.3082 , 23
71.8172 , 22
72.5836 , 21
73.0615 , 20
74.1652 , 19
75.3275 , 18
76.8083 , 17
79.0279 , 16
81.1781 , 15
83.0207 , 14
85.0018 , 13
94.8433 , 12
116.764 , 11
403.754 , 10
594.626 , 9
760.792 , 8
868.137 , 7
1594.19 , 6
1979.15 , 5
2759.22 , 4
3340.75 , 3
4376.02 , 2
5421.42 , 1
6296.1 , 0
--------------------------
Total Number of NDPs: 42
Time (Sec.): 246.982
